index,word,freq,# texts,freq/texts,entire corpus,expected
1,GIRL,22,1,5,"113,690",4.4
2,TIME,21,1,1.4,"382,384",14.7
3,YEAR,20,1,9.1,"56,886",2.2
4,SHEEP,18,1,120.7,"3,873",0.1
5,RANCH,14,1,104.7,"3,475",0.1
6,RODEO,12,1,337.7,923,0
7,DAY,12,1,1.9,"164,992",6.4
8,FOLK,11,1,154.5,"1,849",0.1
9,HELL,11,1,3.1,"90,781",3.5
10,PLACE,11,1,2.5,"114,320",4.4
11,JOB,10,1,3.4,"76,899",3
12,DADDY,10,1,7.5,"34,776",1.3
13,BOY,10,1,2.4,"107,032",4.1
14,LIFE,9,1,1.4,"165,508",6.4
15,THING,9,1,1.2,"201,549",7.8
16,WEEK,8,1,4.7,"43,959",1.7
17,NOTHIN,8,1,22.7,"9,149",0.4
18,COWBOY,8,1,57.1,"3,638",0.1
19,WIFE,7,1,2.9,"62,611",2.4
20,WAY,7,1,0.7,"275,793",10.6
21,WEEKEND,6,1,14.3,"10,888",0.4
22,SUMMER,6,1,12,"12,991",0.5
23,WORK,6,1,2.3,"67,685",2.6
24,COFFEE,6,1,7,"22,359",0.9
25,FISH,6,1,10.4,"15,025",0.6
26,BUDDY,6,1,7.1,"21,929",0.8
27,NIGHT,6,1,0.9,"165,387",6.4
28,LOOK,6,1,4.2,"37,120",1.4
29,MAN,6,1,0.4,"392,844",15.1
30,MONTH,6,1,9.1,"17,181",0.7
31,HAND,5,1,2.5,"52,489",2
32,HONEY,5,1,2.7,"48,835",1.9
33,FRIEND,5,1,1.6,"81,016",3.1
34,HOUR,5,1,4.4,"29,412",1.1
35,MAMA,5,1,5.6,"23,058",0.9
36,NOSE,5,1,11.4,"11,377",0.4
37,PICKUP,5,1,113,"1,149",0
38,CALF,5,1,167.8,774,0
39,BEAN,5,1,80.2,"1,619",0.1
40,FISHIN,5,1,585.1,222,0
41,FOOT,5,1,10.3,"12,632",0.5
42,CHILD,5,1,3.7,"34,910",1.3
43,TOWN,5,1,2.7,"48,368",1.9
44,POINT,5,1,3.1,"41,871",1.6
45,SISTER,5,1,3.7,"34,871",1.3
46,RIGHT,4,1,1.8,"57,187",2.2
47,ROAD,4,1,3.9,"26,322",1
48,WHISKY,4,1,82.9,"1,254",0
49,TENT,4,1,36.3,"2,861",0.1
50,STORM,4,1,14.7,"7,089",0.3
51,SOUP,4,1,24.4,"4,254",0.2
52,WORD,4,1,2.2,"46,236",1.8
53,CHURCH,4,1,5.8,"17,789",0.7
54,BACK,4,1,1.3,"82,014",3.2
55,BEIN,4,1,93,"1,117",0
56,ASH,4,1,52.3,"1,987",0.1
57,ASS,4,1,2.5,"40,916",1.6
58,BROTHER,4,1,1.9,"55,442",2.1
59,CAMP,4,1,9.5,"10,883",0.4
60,CAR,4,1,1.2,"85,842",3.3
61,MONEY,4,1,0.8,"129,416",5
62,LINE,4,1,2.9,"35,389",1.4
63,FIRE,4,1,3.2,"32,765",1.3
64,HORSE,4,1,5.4,"19,280",0.7
65,GUY,4,1,0.9,"117,367",4.5
66,HARMONICA,3,1,310.5,251,0
67,GAL,3,1,30.4,"2,565",0.1
68,KID,3,1,1.4,"57,259",2.2
69,HOUSE,3,1,0.8,"103,825",4
70,HURRY,3,1,15.9,"4,890",0.2
71,IDEA,3,1,1.1,"68,461",2.6
72,MA'AM,3,1,3.6,"21,710",0.8
73,NOTE,3,1,9.8,"7,973",0.3
74,MULE,3,1,50.6,"1,541",0.1
75,BUSINESS,3,1,1.3,"59,208",2.3
76,CABIN,3,1,17.6,"4,431",0.2
77,BRONC,3,1,519.5,150,0
78,CASE,3,1,2.2,"35,582",1.4
79,CAUSE,3,1,1.4,"56,833",2.2
80,BEER,3,1,5.3,"14,591",0.6
81,BULL,3,1,15.7,"4,950",0.2
82,BITCH,3,1,2.3,"33,857",1.3
83,COYOTE,3,1,119.7,651,0
84,COUPLE,3,1,1.9,"40,176",1.5
85,CUP,3,1,7.5,"10,350",0.4
86,DAD,3,1,0.9,"91,246",3.5
87,DIVORCE,3,1,15.9,"4,898",0.2
88,FOREMAN,3,1,73,"1,068",0
89,FOOD,3,1,2.4,"32,133",1.2
90,FAMILY,3,1,1.1,"68,085",2.6
91,FARM,3,1,10.3,"7,544",0.3
92,SUPPER,3,1,18.4,"4,242",0.2
93,WHILE,3,1,3,"26,375",1
94,THINKIN,3,1,34.3,"2,272",0.1
95,SCHOOL,3,1,1.3,"61,122",2.4
96,SEEIN,3,1,134.4,580,0
97,POWER,3,1,2.5,"30,958",1.2
98,ROOM,3,1,1,"77,730",3
99,REST,2,1,1.4,"35,856",1.4
100,RIDE,2,1,3.7,"13,981",0.5
101,PROBLEM,2,1,1,"52,860",2
102,PUP,2,1,95,547,0
103,PUSSY,2,1,7.6,"6,799",0.3
104,SNOW,2,1,6.7,"7,755",0.3
105,SECOND,2,1,1.8,"28,364",1.1
106,SITUATION,2,1,3.4,"15,412",0.6
