index,word,freq,# texts,freq/texts,entire corpus,expected
1,GOOD,391,114,0.6,"722,261",622.9
2,OLD,288,96,2,"167,474",144.4
3,GREAT,288,94,1.4,"247,274",213.2
4,NEW,275,108,1.6,"198,412",171.1
5,BIG,237,95,1.5,"183,182",158
6,BAD,212,89,1.5,"162,356",140
7,RIGHT,166,93,0.8,"246,051",212.2
8,SURE,154,85,0.7,"269,379",232.3
9,LITTLE,154,79,0.7,"243,665",210.1
10,REAL,145,80,1.3,"130,961",112.9
11,SORRY,140,84,0.4,"391,288",337.4
12,DEAD,132,69,1.2,"131,707",113.6
13,OTHER,126,74,0.8,"189,154",163.1
14,NICE,126,72,0.9,"163,671",141.1
15,ONLY,121,72,1.1,"124,421",107.3
16,HUMAN,117,55,3.5,"38,649",33.3
17,STUPID,114,63,2.4,"54,271",46.8
18,BEST,110,65,1.1,"118,430",102.1
19,WRONG,100,67,0.8,"142,533",122.9
20,HAPPY,97,69,1.1,"101,228",87.3
21,FREE,94,51,2.2,"50,355",43.4
22,BEAUTIFUL,94,48,1.7,"65,032",56.1
23,TRUE,92,63,1.3,"80,752",69.6
24,CRAZY,91,57,1.5,"70,662",60.9
25,FINE,90,59,0.6,"182,561",157.4
26,WHOLE,81,57,0.8,"115,574",99.7
27,HOT,81,50,1.7,"56,099",48.4
28,OKAY,80,60,0.7,"124,526",107.4
29,ALIVE,80,51,1.8,"50,871",43.9
30,YOUNG,76,52,1.4,"62,519",53.9
31,SWEET,71,51,2.1,"39,518",34.1
32,IMPORTANT,69,44,1.2,"67,049",57.8
33,READY,61,44,0.7,"101,519",87.5
34,BETTER,60,48,0.8,"86,412",74.5
35,COOL,60,38,1.2,"60,111",51.8
36,RICH,59,31,3.5,"19,757",17
37,FULL,58,40,1.2,"54,271",46.8
38,GIANT,56,38,6.2,"10,398",9
39,CUTE,54,38,2.7,"23,240",20
40,AFRAID,53,40,1,"63,948",55.1
41,LATE,53,37,1.1,"56,374",48.6
42,HIGH,51,43,1,"58,838",50.7
43,POOR,51,36,1.8,"33,115",28.6
44,LONG,49,39,0.7,"80,182",69.1
45,DUMB,49,38,4.9,"11,605",10
46,PERFECT,49,38,1,"54,944",47.4
47,PROUD,48,40,2,"27,532",23.7
48,SAFE,48,30,1,"56,996",49.2
49,LOW,48,29,3.2,"17,145",14.8
50,HARD,47,38,0.8,"66,495",57.3
51,SPECIAL,47,36,1.1,"49,237",42.5
52,FUN,46,35,1.3,"40,387",34.8
53,LUCKY,46,33,1.3,"39,960",34.5
54,EVIL,46,25,4.4,"12,033",10.4
