index,word,freq,# texts,freq/texts,entire corpus,expected
1,TIME,623,120,1.1,"633,282",546.1
2,ROBOT,513,87,91,"6,540",5.6
3,THING,472,121,1.6,"351,867",303.4
4,MAN,353,103,0.9,"460,331",397
5,YEAR,326,106,4.4,"86,492",74.6
6,WAY,321,113,0.8,"448,658",386.9
7,LIFE,318,102,1.5,"252,885",218.1
8,FRIEND,312,97,2.8,"128,541",110.8
9,GUY,306,108,1.5,"231,517",199.7
10,PEOPLE,261,97,0.8,"375,906",324.2
11,DAY,256,114,1.2,"253,857",218.9
12,PLANET,211,65,8.6,"28,397",24.5
13,SHIP,186,61,5.9,"36,533",31.5
14,WORLD,170,77,1.4,"144,765",124.8
15,BOY,162,80,1.6,"118,984",102.6
16,BODY,155,54,2.3,"77,673",67
17,SPACE,151,62,5.2,"33,975",29.3
18,BABY,148,69,1.3,"134,956",116.4
19,HAND,148,57,2.3,"73,824",63.7
20,PLACE,140,75,0.9,"175,215",151.1
21,HEAD,138,63,1.5,"105,496",91
22,HUMAN,138,45,23,"6,964",6
23,LOVE,136,55,1.6,"96,536",83.2
24,KIND,134,75,1.2,"126,335",108.9
25,NIGHT,134,67,0.6,"246,216",212.3
26,WOMAN,134,57,1.2,"125,032",107.8
27,NAME,131,67,0.9,"173,609",149.7
28,EYE,124,65,3.9,"37,288",32.2
29,ASS,121,68,3.4,"41,475",35.8
30,DELIVERY,114,48,18.3,"7,225",6.2
31,HELL,113,65,0.9,"138,697",119.6
32,WORD,111,63,1.7,"75,170",64.8
33,JOB,111,60,0.9,"143,207",123.5
34,KID,111,45,1.5,"83,104",71.7
35,NEWS,110,59,2.1,"61,959",53.4
36,SIR,109,58,0.6,"209,282",180.5
37,BACK,106,63,0.9,"136,882",118
38,UNIVERSE,104,36,7,"17,107",14.8
39,BRAIN,103,46,3.7,"32,461",28
40,MINUTE,102,65,1.4,"82,523",71.2
41,HOUR,100,63,2.2,"51,659",44.5
42,PART,100,62,1.2,"93,711",80.8
43,SECOND,99,62,2.2,"51,742",44.6
44,STUFF,98,64,1.2,"92,865",80.1
45,DEATH,96,53,1.5,"75,888",65.4
46,MONEY,96,50,0.7,"159,001",137.1
47,MACHINE,96,41,4.9,"22,732",19.6
48,IDEA,91,56,0.8,"133,211",114.9
49,FACE,89,49,1.3,"76,827",66.3
50,LADY,87,58,1.8,"56,675",48.9
51,DREAM,87,36,3.7,"27,038",23.3
52,PARENT,87,27,17.3,"5,843",5
53,GIRL,85,46,0.7,"147,918",127.6
54,CHANCE,82,56,1.2,"80,432",69.4
55,WORK,81,54,0.8,"124,958",107.8
56,SHOW,78,30,1.7,"54,770",47.2
57,CAPTAIN,78,20,1.6,"57,631",49.7
58,ROOM,77,46,0.7,"128,653",110.9
59,CHILD,77,43,1.8,"48,939",42.2
60,LOT,76,56,0.6,"150,057",129.4
61,PROBLEM,75,50,0.8,"105,830",91.3
62,WEEK,75,44,1.1,"79,720",68.7
63,PROFESSOR,75,30,4.9,"17,854",15.4
64,HEART,73,43,1.2,"73,450",63.3
65,BOX,73,24,2.6,"32,104",27.7
66,IDIOT,70,53,4.4,"18,560",16
67,BUSINESS,69,40,0.9,"92,867",80.1
68,FOOD,69,40,1.5,"53,718",46.3
69,PARTY,69,32,1,"78,159",67.4
70,FIRE,68,25,1.5,"53,722",46.3
71,DOG,67,29,1.7,"45,427",39.2
72,THANKS,66,50,0.4,"171,004",147.5
73,QUESTION,66,37,1.2,"63,274",54.6
74,POWER,66,36,1.2,"66,314",57.2
75,SON,66,32,0.7,"115,519",99.6
76,MILLION,65,34,1.9,"39,757",34.3
77,END,63,52,1.1,"66,263",57.1
78,BALL,63,20,2.9,"24,825",21.4
79,NUMBER,61,47,1,"70,461",60.8
80,FOOT,61,39,3.8,"18,792",16.2
81,STORY,61,35,1,"71,100",61.3
82,CREW,61,28,3.9,"18,189",15.7
83,MUTANT,61,15,19.3,"3,667",3.2
84,POINT,59,46,0.8,"83,235",71.8
85,HOME,59,42,1,"70,988",61.2
86,MONSTER,59,35,4.9,"14,007",12.1
87,BUDDY,58,42,2,"33,249",28.7
88,CAUSE,58,37,0.6,"116,400",100.4
89,WATER,58,36,0.9,"71,437",61.6
90,FAMILY,58,34,0.5,"136,620",117.8
91,ICE,58,22,2.4,"27,909",24.1
92,MIND,57,40,0.9,"71,946",62
93,CAR,57,30,0.5,"141,789",122.3
94,ANIMAL,57,22,4.1,"16,143",13.9
95,FOLK,56,27,26.7,"2,432",2.1
96,GENTLEMAN,55,44,7.4,"8,663",7.5
97,GAME,55,30,0.9,"73,737",63.6
98,COMPANY,55,28,1.4,"46,218",39.9
99,FUTURE,55,25,2.1,"30,303",26.1
100,NOSE,55,21,4,"16,072",13.9
101,PLAN,54,38,1.2,"50,100",43.2
102,HERO,54,33,3.7,"16,940",14.6
103,PANT,54,33,178.4,351,0.3
104,MATTER,53,33,1.5,"41,394",35.7
105,MOM,53,28,0.4,"137,432",118.5
106,MISSION,53,25,2.9,"21,479",18.5
107,FACT,52,39,1.1,"57,182",49.3
108,BEER,52,24,3,"19,961",17.2
109,CREATURE,52,23,7.3,"8,261",7.1
110,SONG,52,21,2.1,"28,850",24.9
111,WILL,52,20,1.5,"39,021",33.7
112,CITY,51,29,1,"62,047",53.5
113,PEACE,50,24,2.8,"20,682",17.8
114,BONE,50,23,5.6,"10,365",8.9
115,WHALE,50,9,19.1,"3,042",2.6
116,LINE,49,42,0.9,"59,849",51.6
117,METAL,49,34,6.6,"8,667",7.5
118,WIFE,49,31,0.6,"97,964",84.5
119,CENTURY,49,29,5.1,"11,190",9.6
120,ARM,49,29,3.1,"18,126",15.6
121,DOCTOR,49,25,0.7,"86,051",74.2
122,EARTH,49,17,1.2,"49,039",42.3
123,CRAP,48,40,2.4,"22,886",19.7
124,DINNER,48,36,1,"57,282",49.4
125,MOMENT,48,36,0.9,"62,648",54
