index,word,freq,# texts,freq/texts,entire corpus,expected
1,OTHER,1324,595,1.2,"1,278,990","1,126.00"
2,NEW,1026,430,1.2,"1,000,511",880.8
3,BIG,518,290,1.3,"470,472",414.2
4,HIGH,453,272,1.3,"383,759",337.8
5,FEDERAL,452,167,2.8,"185,052",162.9
6,GOOD,439,267,0.4,"1,112,083",979
7,GREAT,365,230,0.8,"552,238",486.2
8,PUBLIC,355,215,1.5,"265,182",233.5
9,LARGE,327,217,1.7,"218,195",192.1
10,ONLY,322,229,1.1,"326,043",287
11,YOUNG,322,204,1.3,"274,046",241.3
12,LATE,305,233,2.5,"140,264",123.5
13,BEST,305,198,1,"348,166",306.5
14,RECENT,281,205,2.1,"151,676",133.5
15,BLACK,280,113,1.1,"292,540",257.5
16,DIFFERENT,275,181,0.8,"413,646",364.2
17,EARLY,271,185,1.7,"178,455",157.1
18,POLITICAL,270,146,1.1,"279,466",246
19,LOCAL,252,168,1.4,"200,659",176.7
20,WHITE,246,122,1.1,"250,728",220.7
21,OLD,240,151,0.6,"424,920",374.1
22,BAD,238,166,0.9,"284,660",250.6
23,LONG,228,190,0.8,"305,317",268.8
24,POSSIBLE,226,181,1.2,"213,869",188.3
25,MAJOR,216,160,1.4,"175,475",154.5
26,SMALL,213,161,0.8,"316,629",278.7
27,IMPORTANT,213,142,0.7,"331,714",292
28,NATIONAL,210,133,0.7,"322,006",283.5
29,REAL,209,146,0.7,"348,255",306.6
30,MEDICAL,199,76,1.7,"136,518",120.2
31,FREE,196,120,0.9,"240,760",212
32,SPECIAL,192,133,1.2,"176,561",155.4
33,LEGAL,192,101,2,"107,152",94.3
34,SEXUAL,186,79,2.5,"84,243",74.2
35,RIGHT,183,123,0.6,"374,445",329.6
36,LOW,178,124,1.5,"131,433",115.7
37,FINAL,178,111,1.9,"105,701",93.1
38,FULL,174,138,1,"200,408",176.4
39,STRONG,173,138,1.3,"150,167",132.2
40,ABLE,171,137,0.7,"279,598",246.1
41,SOCIAL,170,122,0.7,"290,422",255.7
42,TOP,157,109,1.8,"97,141",85.5
43,SENIOR,151,99,2.3,"76,119",67
44,CRIMINAL,151,92,3.7,"46,844",41.2
45,HARD,149,120,0.9,"198,423",174.7
46,SURE,149,114,0.4,"382,903",337.1
47,PRESIDENTIAL,147,79,2.7,"61,352",54
48,DEAD,143,91,1,"167,148",147.2
49,LITTLE,141,97,0.4,"404,038",355.7
50,CLOSE,132,103,1.4,"103,571",91.2
51,EASY,131,103,1,"151,257",133.2
52,LIKELY,130,100,1,"147,660",130
53,CLEAR,129,101,0.9,"161,202",141.9
54,BETTER,126,106,0.6,"247,552",217.9
55,LEFT,125,88,1.2,"114,642",100.9
56,GENERAL,122,81,0.9,"146,305",128.8
57,SINGLE,121,101,0.9,"149,085",131.2
58,PERSONAL,120,92,0.8,"164,326",144.7
59,ORIGINAL,119,75,1.4,"93,242",82.1
60,SHORT,117,84,1,"129,398",113.9
61,CHIEF,117,77,2.5,"52,482",46.2
62,DIFFICULT,114,95,0.9,"136,509",120.2
63,DEEP,114,58,1.8,"73,118",64.4
64,HOMELESS,113,39,6.3,"20,240",17.8
65,SIMILAR,111,98,1,"129,292",113.8
66,INTERNATIONAL,111,60,0.8,"157,746",138.9
67,POTENTIAL,110,89,1.6,"75,845",66.8
68,DOWNTOWN,110,66,6.2,"20,264",17.8
69,GLOBAL,110,57,1.3,"99,852",87.9
70,WIDE,108,57,1.9,"65,939",58.1
71,HOT,108,53,1,"118,273",104.1
72,POPULAR,107,89,1.3,"91,455",80.5
73,CURRENT,107,89,0.8,"148,398",130.6
74,HUMAN,106,76,0.5,"236,273",208
75,AVAILABLE,105,76,0.8,"151,394",133.3
76,ILLEGAL,105,65,2.6,"46,399",40.8
77,FINANCIAL,105,63,1,"119,877",105.5
78,PAST,104,91,0.9,"128,868",113.5
79,MILITARY,104,59,0.7,"163,623",144
80,OPEN,99,85,0.7,"153,403",135.1
81,KEY,99,79,1.3,"84,246",74.2
82,SIGNIFICANT,94,75,0.9,"123,049",108.3
83,ALLEGED,94,50,6.5,"16,533",14.6
84,ECONOMIC,92,63,0.6,"172,174",151.6
85,CERTAIN,90,80,0.7,"154,094",135.7
86,TOUGH,90,75,1.4,"74,520",65.6
87,PRIVATE,90,74,0.8,"133,957",117.9
88,POWERFUL,90,70,1.3,"76,774",67.6
89,READY,89,68,0.7,"148,105",130.4
90,TRUE,87,77,0.4,"232,607",204.8
91,SAFE,87,61,1,"94,226",83
92,ADDITIONAL,86,69,1.3,"72,549",63.9
93,MASSIVE,86,68,2.1,"47,169",41.5
94,SERIOUS,86,67,0.8,"122,280",107.7
95,HUGE,85,76,0.9,"109,920",96.8
96,INVOLVED,85,76,1.3,"72,492",63.8
97,WHOLE,85,71,0.4,"233,166",205.3
98,FEMALE,85,57,1.6,"60,134",52.9
99,RED,84,55,0.7,"143,481",126.3
100,PREVIOUS,83,75,1.2,"79,537",70
101,MULTIPLE,81,72,1.5,"61,696",54.3
102,MAIN,80,67,0.9,"103,814",91.4
103,GUILTY,79,54,2,"45,423",40
104,CIVIL,79,53,1.1,"82,568",72.7
105,POSITIVE,77,60,0.9,"92,281",81.2
106,DANGEROUS,76,58,1.3,"64,085",56.4
107,CONGRESSIONAL,75,35,2.7,"31,275",27.5
108,FINE,74,62,0.5,"178,043",156.7
109,INDEPENDENT,74,57,1.3,"63,668",56.1
110,ENTIRE,73,69,0.7,"122,401",107.8
111,LONGTIME,73,63,5.7,"14,437",12.7
112,WRONG,72,57,0.4,"206,966",182.2
113,MASS,71,43,2.3,"35,587",31.3
114,GROWING,70,65,1.5,"52,668",46.4
115,NECESSARY,70,57,0.8,"95,613",84.2
116,ANNUAL,70,51,1.3,"59,303",52.2
117,MUSICAL,70,38,2.4,"32,777",28.9
118,CRITICAL,69,57,1,"77,033",67.8
119,BROAD,69,57,2.2,"35,969",31.7
120,DARK,69,51,0.9,"92,201",81.2
121,HISTORIC,69,48,2.8,"27,802",24.5
122,COMMON,68,59,0.6,"130,021",114.5
123,INTERESTING,67,50,0.7,"116,820",102.8
124,FOREIGN,66,41,0.7,"111,560",98.2
125,DEADLY,66,41,4.3,"17,527",15.4
126,TOTAL,65,42,0.8,"91,100",80.2
127,FAR,64,57,2.3,"31,885",28.1
128,SUCCESSFUL,64,54,0.9,"78,017",68.7
129,NUCLEAR,64,20,0.9,"79,467",70
130,GAY,63,23,1.3,"57,065",50.2
131,HAPPY,62,53,0.4,"158,328",139.4
132,ONLINE,62,46,1.2,"58,878",51.8
133,CENTRAL,62,40,0.7,"104,411",91.9
134,MENTAL,62,38,1.2,"59,722",52.6
135,DEFENSIVE,62,33,2.5,"28,468",25.1
136,CONCERNED,60,56,0.9,"72,339",63.7
137,PHYSICAL,60,48,0.6,"109,593",96.5
138,RACIAL,60,33,2.1,"31,942",28.1
139,HEAVY,59,52,1,"69,911",61.5
140,VARIOUS,58,55,0.7,"99,839",87.9
141,FAMILIAR,58,52,1.2,"54,667",48.1
142,FELLOW,58,52,1.9,"34,648",30.5
143,NATURAL,58,43,0.5,"123,819",109
144,SPECIFIC,57,50,0.6,"101,255",89.1
145,MODERN,57,45,0.8,"83,986",73.9
146,COMMERCIAL,57,43,0.9,"68,835",60.6
147,LIVE,56,40,1.3,"48,875",43
148,OFFENSIVE,56,31,2.2,"28,611",25.2
149,NICE,54,40,0.3,"175,591",154.6
150,CULTURAL,54,39,0.8,"78,044",68.7
151,UNCLEAR,53,49,4.7,"12,810",11.3
152,COMPLETE,53,42,0.9,"66,193",58.3
153,FAVORITE,53,40,0.9,"63,823",56.2
154,PROPOSED,53,37,2.6,"22,869",20.1
155,DOMESTIC,53,36,1.3,"47,538",41.9
156,VIOLENT,53,36,1.7,"36,178",31.8
157,MALE,53,33,1.2,"51,492",45.3
158,PRIMARY,52,34,1,"58,998",51.9
159,COOL,52,34,0.7,"83,479",73.5
160,SUPPOSED,51,48,0.6,"105,063",92.5
161,REGULAR,51,46,0.9,"64,315",56.6
162,INTERNAL,51,45,1.3,"45,267",39.9
163,INDIVIDUAL,51,41,0.6,"89,715",79
164,RARE,51,41,1.4,"42,482",37.4
165,INITIAL,51,37,1.3,"42,973",37.8
166,NUMEROUS,50,43,1.6,"35,168",31
167,PERFECT,50,42,0.5,"105,588",93
168,TRADITIONAL,50,42,0.7,"80,473",70.8
169,EFFECTIVE,50,41,0.7,"79,648",70.1
170,ESSENTIAL,49,48,1.3,"42,233",37.2
171,EMOTIONAL,49,42,1.1,"51,355",45.2
172,SO-CALLED,48,45,1.8,"29,478",26
173,FALSE,48,40,1.3,"40,948",36
174,AWARE,48,40,0.9,"63,495",55.9
175,CLASSIC,48,38,1.9,"29,034",25.6
176,CONSERVATIVE,48,37,1.1,"49,161",43.3
177,FRESH,48,37,0.7,"75,629",66.6
178,TEMPORARY,48,31,2.5,"22,206",19.5
179,TERRORIST,48,26,2.4,"22,704",20
180,FUTURE,47,44,0.7,"77,704",68.4
181,FAIR,47,40,0.7,"76,229",67.1
182,NONPROFIT,47,39,3.7,"14,291",12.6
183,CORPORATE,47,34,1,"51,721",45.5
184,RELIGIOUS,47,31,0.6,"94,518",83.2
185,STRANGE,46,39,1,"53,347",47
186,VICE,46,37,1.5,"34,681",30.5
187,RESPONSIBLE,46,36,0.8,"67,349",59.3
188,COLD,46,33,0.6,"89,982",79.2
189,DRAMATIC,45,42,1.7,"30,560",26.9
190,SIMPLE,45,42,0.4,"120,721",106.3
191,CONTROVERSIAL,45,40,2.4,"20,868",18.4
192,FAMOUS,45,36,1,"53,593",47.2
193,DIGITAL,45,23,1,"49,466",43.5
194,AMAZING,44,35,0.7,"69,541",61.2
195,FRONT,44,33,0.8,"63,734",56.1
196,STRAIGHT,44,31,1.5,"32,834",28.9
197,LOW-INCOME,44,23,6.2,"8,053",7.1
198,LEGISLATIVE,44,22,2.5,"19,625",17.3
199,USED,43,36,1,"48,344",42.6
200,WARM,43,35,0.9,"51,618",45.4
201,ALIVE,43,35,0.7,"69,388",61.1
202,WILLING,42,33,0.6,"76,658",67.5
203,BLUE,42,33,0.5,"102,273",90
204,OVERALL,42,32,1.1,"43,388",38.2
205,FATAL,42,30,4.1,"11,527",10.1
206,ENVIRONMENTAL,42,29,0.6,"80,344",70.7
207,IMPOSSIBLE,41,40,0.8,"57,931",51
208,NEARBY,41,37,1.9,"24,517",21.6
209,OFFICIAL,41,35,1,"47,375",41.7
210,CREATIVE,41,33,1.1,"43,682",38.5
211,EXPENSIVE,41,33,0.9,"50,758",44.7
212,ELECTED,41,29,4.1,"11,313",10
213,JUNIOR,41,28,1.6,"28,890",25.4
214,GRAND,41,26,0.9,"51,736",45.5
215,COASTAL,41,19,3.6,"13,062",11.5
216,INTENSE,40,38,1.6,"28,706",25.3
217,LEADING,40,37,1.4,"32,286",28.4
218,AVERAGE,40,34,0.7,"67,634",59.5
219,UNUSUAL,40,34,1.3,"33,706",29.7
220,BEAUTIFUL,40,33,0.4,"120,698",106.3
221,RETIRED,40,32,3,"15,209",13.4
222,PERMANENT,40,29,1.6,"28,349",25
223,NORTHERN,40,28,1,"43,817",38.6
224,SMART,39,36,0.8,"55,010",48.4
225,BRIEF,39,36,1.4,"32,409",28.5
226,POOR,39,35,0.4,"121,346",106.8
227,CRUCIAL,39,35,1.6,"28,221",24.8
228,ACTUAL,39,32,0.7,"64,819",57.1
229,VIRTUAL,39,18,2.2,"19,735",17.4
230,UNIQUE,38,35,0.8,"54,836",48.3
231,EXTRA,38,34,0.7,"63,431",55.8
232,EAGER,38,32,2.3,"18,617",16.4
233,LONG-TERM,38,30,1,"42,779",37.7
234,EXTREME,38,29,1.2,"34,693",30.5
235,LIKE,38,27,0.6,"72,030",63.4
236,MINIMUM,38,17,2.2,"19,731",17.4
237,CONSECUTIVE,37,34,3.5,"12,060",10.6
238,UPCOMING,37,34,2.7,"15,322",13.5
239,PARTICULAR,37,33,0.5,"92,796",81.7
240,PROMINENT,37,33,1.9,"21,753",19.2
241,IMMEDIATE,37,33,1.2,"33,750",29.7
242,PROFESSIONAL,37,32,0.5,"80,926",71.2
243,FUN,37,31,0.6,"65,863",58
244,MINOR,37,28,1.4,"29,191",25.7
245,REASONABLE,37,26,1.1,"36,633",32.3
246,IMMIGRANT,37,24,4.2,"9,943",8.8
247,AGGRESSIVE,36,33,1.5,"26,824",23.6
248,QUICK,36,33,0.6,"71,259",62.7
249,VETERAN,36,32,3.7,"11,035",9.7
250,PRIME,36,29,0.9,"45,690",40.2
251,INAPPROPRIATE,36,25,3.1,"13,158",11.6
252,INJURED,36,23,4.5,"9,189",8.1
253,ACTIVE,35,33,0.7,"58,820",51.8
254,VAST,35,31,1,"38,824",34.2
255,COMPLICATED,35,29,1.4,"29,354",25.8
256,NORMAL,35,28,0.5,"82,095",72.3
257,QUIET,35,28,0.7,"56,475",49.7
258,JOINT,35,25,1.3,"31,743",27.9
259,PROUD,34,31,0.7,"51,827",45.6
260,DIVERSE,34,30,1.5,"25,278",22.3
261,LIBERAL,34,28,0.9,"44,677",39.3
262,WILD,34,27,0.7,"55,998",49.3
263,UNLIKELY,33,32,1.4,"27,364",24.1
264,APPARENT,33,32,1.4,"26,983",23.8
265,SEPARATE,33,29,0.9,"41,181",36.3
