index,word,freq,# texts,freq/texts,entire corpus,expected
1,OTHER,1385,560,1.2,"1,278,990","1,187.10"
2,NEW,953,421,1,"1,000,511",928.6
3,POLITICAL,482,212,1.9,"279,466",259.4
4,ONLY,459,268,1.5,"326,043",302.6
5,BIG,450,256,1,"470,472",436.7
6,HIGH,385,234,1.1,"383,759",356.2
7,GOOD,383,235,0.4,"1,112,083","1,032.20"
8,LARGE,379,231,1.9,"218,195",202.5
9,BLACK,379,136,1.4,"292,540",271.5
10,YOUNG,364,203,1.4,"274,046",254.4
11,EARLY,343,230,2.1,"178,455",165.6
12,RECENT,342,234,2.4,"151,676",140.8
13,PUBLIC,330,197,1.3,"265,182",246.1
14,OLD,323,202,0.8,"424,920",394.4
15,WHITE,318,140,1.4,"250,728",232.7
16,GREAT,316,221,0.6,"552,238",512.6
17,SMALL,309,193,1.1,"316,629",293.9
18,NATIONAL,303,174,1,"322,006",298.9
19,BEST,293,175,0.9,"348,166",323.1
20,LATE,290,211,2.2,"140,264",130.2
21,BAD,277,190,1,"284,660",264.2
22,DIFFERENT,270,193,0.7,"413,646",383.9
23,SOCIAL,259,151,1,"290,422",269.6
24,FEDERAL,257,111,1.5,"185,052",171.8
25,LONG,251,184,0.9,"305,317",283.4
26,MILITARY,240,86,1.6,"163,623",151.9
27,MAJOR,233,147,1.4,"175,475",162.9
28,LOCAL,229,127,1.2,"200,659",186.2
29,IMPORTANT,221,170,0.7,"331,714",307.9
30,ECONOMIC,219,107,1.4,"172,174",159.8
31,SPECIAL,209,147,1.3,"176,561",163.9
32,TOP,206,150,2.3,"97,141",90.2
33,PRESIDENTIAL,195,100,3.4,"61,352",56.9
34,CHIEF,193,117,4,"52,482",48.7
35,FINANCIAL,192,104,1.7,"119,877",111.3
36,STRONG,187,136,1.3,"150,167",139.4
37,SEXUAL,184,86,2.4,"84,243",78.2
38,POSSIBLE,183,140,0.9,"213,869",198.5
39,PERSONAL,182,127,1.2,"164,326",152.5
40,CLEAR,179,144,1.2,"161,202",149.6
41,HARD,178,137,1,"198,423",184.2
42,FULL,175,130,0.9,"200,408",186
43,PAST,173,143,1.4,"128,868",119.6
44,REAL,171,135,0.5,"348,255",323.2
45,LIKELY,171,129,1.2,"147,660",137
46,PRIVATE,171,116,1.4,"133,957",124.3
47,LOW,168,122,1.4,"131,433",122
48,FOREIGN,165,93,1.6,"111,560",103.5
49,FINAL,155,99,1.6,"105,701",98.1
50,LEGAL,153,90,1.5,"107,152",99.5
51,FREE,152,105,0.7,"240,760",223.5
52,RIGHT,148,109,0.4,"374,445",347.5
53,SENIOR,147,113,2.1,"76,119",70.6
54,ABLE,145,122,0.6,"279,598",259.5
55,BETTER,145,116,0.6,"247,552",229.8
56,INTERNATIONAL,141,93,1,"157,746",146.4
57,MEDICAL,141,75,1.1,"136,518",126.7
58,OPEN,140,107,1,"153,403",142.4
59,SHORT,138,116,1.1,"129,398",120.1
60,SINGLE,138,95,1,"149,085",138.4
61,GENERAL,137,92,1,"146,305",135.8
62,GLOBAL,136,87,1.5,"99,852",92.7
63,CLOSE,132,98,1.4,"103,571",96.1
64,DIFFICULT,131,103,1,"136,509",126.7
65,NUCLEAR,131,38,1.8,"79,467",73.8
66,EASY,129,97,0.9,"151,257",140.4
67,POPULAR,128,96,1.5,"91,455",84.9
68,GAY,128,34,2.4,"57,065",53
69,CURRENT,124,106,0.9,"148,398",137.7
70,LITTLE,123,97,0.3,"404,038",375
71,POTENTIAL,120,96,1.7,"75,845",70.4
72,WHOLE,120,93,0.6,"233,166",216.4
73,HUMAN,117,89,0.5,"236,273",219.3
74,LEFT,116,81,1.1,"114,642",106.4
75,SIMILAR,114,103,0.9,"129,292",120
76,CENTRAL,114,76,1.2,"104,411",96.9
77,POWERFUL,108,92,1.5,"76,774",71.3
78,TRUE,108,86,0.5,"232,607",215.9
79,PREVIOUS,106,93,1.4,"79,537",73.8
80,SURE,105,88,0.3,"382,903",355.4
81,CERTAIN,103,86,0.7,"154,094",143
82,SIGNIFICANT,100,83,0.9,"123,049",114.2
83,POOR,99,72,0.9,"121,346",112.6
84,MAIN,98,88,1,"103,814",96.4
85,SERIOUS,98,80,0.9,"122,280",113.5
86,CRIMINAL,96,63,2.2,"46,844",43.5
87,BROAD,95,86,2.8,"35,969",33.4
88,ENTIRE,94,82,0.8,"122,401",113.6
89,MODERN,93,74,1.2,"83,986",78
90,PRIME,93,51,2.2,"45,690",42.4
91,RARE,91,71,2.3,"42,482",39.4
92,DEAD,91,67,0.6,"167,148",155.1
93,ONLINE,91,54,1.7,"58,878",54.6
94,FEMALE,90,44,1.6,"60,134",55.8
95,RACIAL,89,53,3,"31,942",29.6
96,WRONG,86,77,0.4,"206,966",192.1
97,OFFICIAL,85,65,1.9,"47,375",44
98,CIVIL,85,60,1.1,"82,568",76.6
99,FAMILIAR,84,65,1.7,"54,667",50.7
100,SAFE,84,57,1,"94,226",87.5
101,AVAILABLE,79,67,0.6,"151,394",140.5
102,ORIGINAL,79,58,0.9,"93,242",86.5
103,MENTAL,79,34,1.4,"59,722",55.4
104,DEEP,78,69,1.1,"73,118",67.9
105,COMMON,78,66,0.6,"130,021",120.7
106,TOUGH,77,59,1.1,"74,520",69.2
107,HUGE,76,55,0.7,"109,920",102
108,CULTURAL,76,52,1,"78,044",72.4
109,RESPONSIBLE,74,62,1.2,"67,349",62.5
110,FUTURE,73,62,1,"77,704",72.1
111,RED,73,55,0.5,"143,481",133.2
112,CONSERVATIVE,73,55,1.6,"49,161",45.6
113,CORPORATE,73,45,1.5,"51,721",48
114,HAPPY,72,55,0.5,"158,328",146.9
115,DANGEROUS,72,44,1.2,"64,085",59.5
116,GROWING,70,62,1.4,"52,668",48.9
117,NATURAL,70,54,0.6,"123,819",114.9
118,DOMESTIC,70,54,1.6,"47,538",44.1
119,DIGITAL,70,35,1.5,"49,466",45.9
120,SIMPLE,69,63,0.6,"120,721",112
121,TRADITIONAL,69,52,0.9,"80,473",74.7
122,MASS,69,47,2.1,"35,587",33
123,RICH,68,55,0.9,"78,074",72.5
124,RURAL,68,43,2.2,"33,387",31
125,CRITICAL,67,61,0.9,"77,033",71.5
126,RELIGIOUS,67,35,0.8,"94,518",87.7
127,CONCERNED,66,58,1,"72,339",67.1
128,WIDE,66,57,1.1,"65,939",61.2
129,OCCASIONAL,65,63,4.3,"16,386",15.2
130,HOT,65,52,0.6,"118,273",109.8
131,GUILTY,65,40,1.5,"45,423",42.2
132,VAST,64,57,1.8,"38,824",36
133,EFFECTIVE,64,51,0.9,"79,648",73.9
134,KEY,63,59,0.8,"84,246",78.2
135,DARK,63,57,0.7,"92,201",85.6
136,MULTIPLE,63,54,1.1,"61,696",57.3
137,FALSE,63,50,1.7,"40,948",38
138,ILLEGAL,63,48,1.5,"46,399",43.1
139,SUCCESSFUL,61,51,0.8,"78,017",72.4
140,READY,61,51,0.4,"148,105",137.5
141,NORMAL,60,49,0.8,"82,095",76.2
142,FAR,59,54,2,"31,885",29.6
143,INDEPENDENT,59,54,1,"63,668",59.1
144,VICE,59,47,1.8,"34,681",32.2
145,LONGTIME,59,46,4.4,"14,437",13.4
146,INTERESTING,58,34,0.5,"116,820",108.4
147,INTERESTED,57,48,0.8,"77,651",72.1
148,WILLING,57,47,0.8,"76,658",71.1
149,BLUE,57,35,0.6,"102,273",94.9
150,NECESSARY,56,53,0.6,"95,613",88.7
151,SPECIFIC,56,46,0.6,"101,255",94
152,FINE,56,43,0.3,"178,043",165.2
153,LIBERAL,56,38,1.4,"44,677",41.5
154,NORTHERN,56,37,1.4,"43,817",40.7
155,VARIOUS,55,52,0.6,"99,839",92.7
156,VERY,55,50,0.8,"74,480",69.1
157,PROMINENT,55,48,2.7,"21,753",20.2
158,INVOLVED,55,47,0.8,"72,492",67.3
159,ANNUAL,55,45,1,"59,303",55
160,EMOTIONAL,55,43,1.2,"51,355",47.7
161,CONGRESSIONAL,55,38,1.9,"31,275",29
162,MALE,55,21,1.2,"51,492",47.8
163,FAMOUS,54,48,1.1,"53,593",49.7
164,DIRECT,54,42,1,"58,306",54.1
