index,word,freq,# texts,freq/texts,entire corpus,expected
1,OTHER,122,65,1.1,"1,278,990",108.6
2,NEW,87,38,1,"1,000,511",84.9
3,GOOD,78,41,0.8,"1,112,083",94.4
4,HIGH,61,35,1.9,"383,759",32.6
5,BEST,52,36,1.8,"348,166",29.6
6,BIG,48,33,1.2,"470,472",39.9
7,DEFENSIVE,43,14,17.8,"28,468",2.4
8,PUBLIC,42,20,1.9,"265,182",22.5
9,GREAT,41,28,0.9,"552,238",46.9
10,FULL,40,28,2.4,"200,408",17
11,DIFFERENT,34,22,1,"413,646",35.1
12,ONLY,30,22,1.1,"326,043",27.7
13,YOUNG,30,18,1.3,"274,046",23.3
14,LARGE,28,15,1.5,"218,195",18.5
15,OLD,26,18,0.7,"424,920",36.1
16,SENIOR,26,16,4,"76,119",6.5
17,LOCAL,25,17,1.5,"200,659",17
18,AVAILABLE,25,16,1.9,"151,394",12.9
19,POSSIBLE,23,20,1.3,"213,869",18.2
20,SMALL,23,19,0.9,"316,629",26.9
21,LONG,22,18,0.8,"305,317",25.9
22,HUGE,22,17,2.4,"109,920",9.3
23,HARD,22,16,1.3,"198,423",16.8
24,ABLE,21,20,0.9,"279,598",23.7
25,LITTLE,21,16,0.6,"404,038",34.3
26,NATIONAL,21,14,0.8,"322,006",27.3
27,BAD,21,14,0.9,"284,660",24.2
28,DOWNTOWN,21,12,12.2,"20,264",1.7
29,READY,20,16,1.6,"148,105",12.6
30,LOW,20,13,1.8,"131,433",11.2
31,SHORT,20,13,1.8,"129,398",11
32,PAST,18,14,1.6,"128,868",10.9
33,FEDERAL,18,9,1.1,"185,052",15.7
34,SEXUAL,18,3,2.5,"84,243",7.2
35,LATE,17,17,1.4,"140,264",11.9
36,SERIOUS,17,15,1.6,"122,280",10.4
37,WHOLE,17,15,0.9,"233,166",19.8
38,SURE,17,13,0.5,"382,903",32.5
39,FINAL,17,11,1.9,"105,701",9
40,OFFENSIVE,17,11,7,"28,611",2.4
41,CENTRAL,17,7,1.9,"104,411",8.9
42,RIGHT,16,15,0.5,"374,445",31.8
43,EARLY,16,14,1.1,"178,455",15.1
44,TOUGH,16,13,2.5,"74,520",6.3
45,TOP,15,12,1.8,"97,141",8.2
46,DIFFICULT,15,9,1.3,"136,509",11.6
47,FREE,14,13,0.7,"240,760",20.4
48,LEFT,14,13,1.4,"114,642",9.7
49,BETTER,14,12,0.7,"247,552",21
50,OPEN,14,11,1.1,"153,403",13
51,USED,14,8,3.4,"48,344",4.1
52,CRIMINAL,14,4,3.5,"46,844",4
53,IMPORTANT,13,12,0.5,"331,714",28.2
54,CURRENT,13,12,1,"148,398",12.6
55,JUNIOR,13,11,5.3,"28,890",2.5
56,STRONG,13,11,1,"150,167",12.7
57,FINANCIAL,13,10,1.3,"119,877",10.2
58,DEEP,13,9,2.1,"73,118",6.2
59,MENTAL,13,4,2.6,"59,722",5.1
60,SIMPLE,12,10,1.2,"120,721",10.2
61,TALL,12,10,3.6,"39,644",3.4
62,EXTRA,12,10,2.2,"63,431",5.4
63,REAL,12,10,0.4,"348,255",29.6
64,PREVIOUS,12,9,1.8,"79,537",6.8
65,PERSONAL,12,9,0.9,"164,326",13.9
66,TRUE,12,8,0.6,"232,607",19.7
67,LEGAL,12,7,1.3,"107,152",9.1
68,STOP-MOTION,12,1,606.8,233,0
69,PROFESSIONAL,11,11,1.6,"80,926",6.9
70,PERFECT,11,11,1.2,"105,588",9
71,LIKELY,11,11,0.9,"147,660",12.5
72,CERTAIN,11,11,0.8,"154,094",13.1
73,EASY,11,10,0.9,"151,257",12.8
74,MAJOR,11,10,0.7,"175,475",14.9
75,NATURAL,11,10,1,"123,819",10.5
76,EFFECTIVE,11,9,1.6,"79,648",6.8
77,SIMILAR,11,9,1,"129,292",11
78,SPECIAL,11,9,0.7,"176,561",15
79,WHITE,11,8,0.5,"250,728",21.3
80,CONFIDENT,11,8,5,"26,144",2.2
81,LONG-TERM,11,8,3,"42,779",3.6
82,HEAVY,11,8,1.9,"69,911",5.9
83,POTENTIAL,11,7,1.7,"75,845",6.4
84,SOCIAL,11,7,0.4,"290,422",24.7
85,SINGLE,10,10,0.8,"149,085",12.7
86,PARTICULAR,10,10,1.3,"92,796",7.9
87,RECENT,10,9,0.8,"151,676",12.9
88,PROUD,10,9,2.3,"51,827",4.4
89,REGIONAL,10,9,2.8,"41,660",3.5
90,SAFE,10,8,1.3,"94,226",8
91,CLEAR,10,8,0.7,"161,202",13.7
92,CLOSE,10,8,1.1,"103,571",8.8
93,ECONOMIC,10,6,0.7,"172,174",14.6
94,WIDE,10,6,1.8,"65,939",5.6
95,ONLINE,10,4,2,"58,878",5
96,FRIED,10,2,13.4,"8,804",0.7
97,REGULAR,9,9,1.6,"64,315",5.5
98,QUICK,9,9,1.5,"71,259",6
99,POPULAR,9,9,1.2,"91,455",7.8
100,COMFORTABLE,9,9,2.1,"49,547",4.2
101,FAVORITE,9,8,1.7,"63,823",5.4
102,OUTSIDE,9,8,3,"35,771",3
103,GENERAL,9,7,0.7,"146,305",12.4
104,SUCCESSFUL,9,7,1.4,"78,017",6.6
105,WARM,9,6,2.1,"51,618",4.4
106,RUNNING,9,6,4.6,"23,079",2
107,SQUARE,9,4,4.5,"23,431",2
108,DEAF,9,1,12.9,"8,222",0.7
109,HAPPY,8,8,0.6,"158,328",13.4
110,HOT,8,8,0.8,"118,273",10
111,FRONT,8,8,1.5,"63,734",5.4
112,MASSIVE,8,8,2,"47,169",4
113,KEY,8,8,1.1,"84,246",7.2
114,COMMON,8,7,0.7,"130,021",11
115,FINE,8,7,0.5,"178,043",15.1
116,WRONG,8,7,0.5,"206,966",17.6
117,SUPPOSED,8,6,0.9,"105,063",8.9
118,UNABLE,8,6,2.6,"36,308",3.1
119,UNIQUE,8,6,1.7,"54,836",4.7
120,PRIVATE,8,6,0.7,"133,957",11.4
121,ORIGINAL,8,5,1,"93,242",7.9
122,DAILY,8,5,1.5,"61,102",5.2
123,COOL,8,5,1.1,"83,479",7.1
124,FORMAL,8,4,3.1,"30,136",2.6
125,INDIVIDUAL,8,3,1.1,"89,715",7.6
126,MIDDLE,8,3,1,"93,799",8
127,SENTENCING,8,1,37.2,"2,535",0.2
128,JUST,7,7,1,"79,904",6.8
129,NECESSARY,7,7,0.9,"95,613",8.1
130,FAR,7,7,2.6,"31,885",2.7
131,EXTENSIVE,7,7,3.6,"23,022",2
132,COMPLETE,7,7,1.2,"66,193",5.6
133,UNUSUAL,7,7,2.4,"33,706",2.9
134,WILD,7,6,1.5,"55,998",4.8
135,WILLING,7,6,1.1,"76,658",6.5
136,RICH,7,6,1.1,"78,074",6.6
137,FUN,7,6,1.3,"65,863",5.6
138,HEALTHY,7,6,1.4,"60,752",5.2
139,QUIET,7,5,1.5,"56,475",4.8
140,GLOBAL,7,5,0.8,"99,852",8.5
141,AVERAGE,7,5,1.2,"67,634",5.7
142,TINY,7,5,1.4,"58,055",4.9
143,STIFF,7,4,7.9,"10,396",0.9
144,NATIVE,7,4,1.6,"52,957",4.5
145,LEGISLATIVE,7,4,4.2,"19,625",1.7
146,ELEMENTARY,7,3,3.1,"26,551",2.3
147,HEXAVALENT,7,2,"1,268.80",65,0
148,ANNUAL,6,6,1.2,"59,303",5
149,BUSY,6,6,1.5,"47,341",4
150,RARE,6,6,1.7,"42,482",3.6
151,PRIMARY,6,6,1.2,"58,998",5
152,PREPARED,6,6,9.2,"7,668",0.7
153,LOST,6,6,2.3,"30,407",2.6
154,MILITARY,6,5,0.4,"163,623",13.9
155,MULTIPLE,6,5,1.1,"61,696",5.2
156,ACTIVE,6,5,1.2,"58,820",5
157,POWERFUL,6,5,0.9,"76,774",6.5
158,CONCERNED,6,5,1,"72,339",6.1
159,COLD,6,5,0.8,"89,982",7.6
160,CRAZY,6,5,0.8,"85,947",7.3
161,BROAD,6,5,2,"35,969",3.1
162,LIGHT,6,5,1.3,"53,930",4.6
163,DRY,6,5,1.6,"45,141",3.8
164,USUAL,6,5,2.1,"33,012",2.8
165,SURPRISED,6,5,1.5,"47,288",4
166,SWEET,6,5,1.1,"63,751",5.4
167,STILL,6,5,2.1,"33,645",2.9
168,DISTINCTIVE,6,4,7.4,"9,582",0.8
169,DISAPPOINTED,6,4,3.8,"18,707",1.6
170,FINISHED,6,4,13.4,"5,291",0.4
171,FRIENDLY,6,4,2.7,"25,951",2.2
172,BASIC,6,4,1,"74,224",6.3
173,PHYSICAL,6,4,0.6,"109,593",9.3
174,CULTURAL,6,4,0.9,"78,044",6.6
175,PRODUCTIVE,6,4,4.1,"17,316",1.5
176,RIPE,6,3,10.6,"6,643",0.6
177,FRESH,6,3,0.9,"75,629",6.4
178,PASSING,6,3,5.1,"13,972",1.2
179,SOUTHERN,6,3,1.1,"67,189",5.7
180,URBAN,6,3,1.5,"45,647",3.9
181,BROKEN,6,2,2.4,"28,976",2.5
182,CRUNCHY,6,2,36.7,"1,925",0.2
183,MAIN,5,5,0.6,"103,814",8.8
184,INVOLVED,5,5,0.8,"72,492",6.2
185,REMAINING,5,5,1.9,"31,408",2.7
186,RAINY,5,5,11.8,"5,007",0.4
187,ENTIRE,5,5,0.5,"122,401",10.4
188,DYNAMIC,5,5,3.2,"18,152",1.5
189,PASSIONATE,5,5,4.6,"12,762",1.1
190,OFFICIAL,5,5,1.2,"47,375",4
191,GLAD,5,5,1,"59,654",5.1
192,FIT,5,5,2.7,"21,832",1.9
193,CONVINCED,5,5,3.7,"15,827",1.3
194,CHIEF,5,5,1.1,"52,482",4.5
195,AMAZING,5,5,0.8,"69,541",5.9
196,AWARE,5,5,0.9,"63,495",5.4
197,ATHLETIC,5,5,3,"19,651",1.7
198,SOLID,5,5,1.5,"40,330",3.4
199,SPECIFIC,5,5,0.6,"101,255",8.6
200,SMART,5,5,1.1,"55,010",4.7
201,STRAIGHT,5,5,1.8,"32,834",2.8
202,SIGNIFICANT,5,5,0.5,"123,049",10.4
203,WESTERN,5,5,0.9,"67,108",5.7
204,UNDEFEATED,5,4,22.7,"2,591",0.2
205,VERY,5,4,0.8,"74,480",6.3
206,TYPICAL,5,4,1.4,"40,790",3.5
207,STRANGE,5,4,1.1,"53,347",4.5
208,ASSISTANT,5,4,2.6,"22,745",1.9
209,FAMILIAR,5,4,1.1,"54,667",4.6
210,PACKED,5,4,13.4,"4,393",0.4
211,DUE,5,4,1.6,"37,072",3.1
212,DEDICATED,5,4,6.6,"8,899",0.8
213,PLAYING,5,4,11.3,"5,195",0.4
214,PROPOSED,5,4,2.6,"22,869",1.9
215,RECEIVING,5,4,19.9,"2,959",0.3
216,SAID,5,4,6.2,"9,442",0.8
217,RED,5,4,0.4,"143,481",12.2
218,HUMAN,5,4,0.2,"236,273",20.1
219,CONSISTENT,5,4,1.5,"38,620",3.3
220,INTERNAL,5,3,1.3,"45,267",3.8
221,HOMELESS,5,3,2.9,"20,240",1.7
222,DOUBLE,5,3,1.6,"35,778",3
223,DEAD,5,3,0.4,"167,148",14.2
224,SCENIC,5,3,16.3,"3,605",0.3
