index,word,freq,# texts,freq/texts,entire corpus,expected
1,GAME,237,48,9,"309,743",26.3
2,YEAR,227,80,3.8,"697,947",59.2
3,TIME,161,78,1.1,"1,670,106",141.8
4,TEAM,120,41,5.1,"279,463",23.7
5,SEASON,120,37,7.4,"190,115",16.1
6,CITY,119,26,3.7,"374,239",31.8
7,PEOPLE,115,52,0.8,"1,783,636",151.4
8,PLAYER,92,33,13.4,"80,945",6.9
9,SCHOOL,88,28,2,"526,415",44.7
10,DAY,86,49,1.4,"715,985",60.8
11,WAY,82,52,0.9,"1,099,614",93.3
12,PERCENT,81,19,2.7,"357,450",30.3
13,THING,77,52,1.6,"572,062",48.6
14,STATE,77,26,1.8,"514,269",43.7
15,WEEK,75,43,2.7,"326,603",27.7
16,POINT,72,37,2.3,"376,275",31.9
17,FAMILY,67,34,1.8,"440,189",37.4
18,POLICE,65,13,3.5,"219,068",18.6
19,CASE,58,24,2.1,"332,769",28.2
20,GUY,56,27,2.6,"251,439",21.3
21,PROGRAM,51,22,2.5,"239,084",20.3
22,COACH,49,26,9,"63,864",5.4
23,JOB,48,25,1.8,"312,880",26.6
24,MAN,46,30,0.7,"742,149",63
25,WORK,46,22,1.2,"456,389",38.7
26,LIFE,45,21,0.7,"719,732",61.1
27,NIGHT,44,32,1.2,"422,280",35.8
28,PLACE,44,29,1.2,"420,531",35.7
29,PRACTICE,44,18,4.3,"121,698",10.3
30,YARD,44,14,17.4,"29,760",2.5
31,STUDENT,44,13,3.5,"147,051",12.5
32,END,43,30,1.7,"305,105",25.9
33,AREA,43,26,2.4,"212,917",18.1
34,FOOD,43,14,2.2,"230,216",19.5
35,HOME,42,25,1.6,"308,735",26.2
36,PARENT,42,11,11.2,"44,007",3.7
37,LOT,41,23,1.1,"436,443",37
38,COLLEGE,41,19,2.4,"198,608",16.9
39,BACK,40,26,1.6,"290,753",24.7
40,MONTH,39,27,3.1,"149,575",12.7
41,FRIEND,39,25,2.4,"191,751",16.3
42,CAR,39,19,1.9,"244,475",20.8
43,TOUCHDOWN,39,14,37.8,"12,153",1
44,WORLD,38,22,0.6,"715,119",60.7
45,SIZE,38,21,4.5,"100,534",8.5
46,ROOM,38,21,1.4,"322,695",27.4
47,RECEIVER,38,12,29.8,"14,998",1.3
48,RESTAURANT,38,11,8.6,"52,321",4.4
49,GROUP,37,23,1.4,"318,422",27
50,BALL,37,18,4.9,"88,976",7.6
51,SERVICE,37,17,2.3,"189,622",16.1
52,LINE,36,23,1.8,"232,771",19.8
53,DEFENSE,36,16,3.5,"121,007",10.3
54,STORE,36,14,4.9,"87,050",7.4
55,BOARD,36,11,3.9,"109,762",9.3
56,PROBLEM,35,24,1.3,"313,986",26.7
57,PART,34,26,0.9,"432,819",36.7
58,PLAN,34,16,2.5,"159,698",13.6
59,PARKING,34,7,11.9,"33,735",2.9
60,MINUTE,33,15,4.2,"91,857",7.8
61,COMPANY,33,14,1.4,"285,479",24.2
62,DEVELOPMENT,33,13,2.3,"168,357",14.3
63,SOLDIER,33,5,15.8,"24,671",2.1
64,CHILD,32,20,1.6,"242,367",20.6
65,PLAY,32,15,4.4,"85,675",7.3
66,APARTMENT,32,6,6.5,"57,669",4.9
67,COMMUNITY,31,20,1.6,"233,660",19.8
68,GOAL,31,16,4.4,"83,823",7.1
69,FRESHMAN,31,15,25.6,"14,242",1.2
70,RESIDENT,31,14,25.4,"14,373",1.2
71,POLICY,31,10,2.1,"175,699",14.9
72,OFFICER,31,7,4.6,"79,865",6.8
73,FIELD,30,20,2.4,"149,234",12.7
74,POSITION,30,19,2.6,"137,883",11.7
75,COUNTRY,30,19,0.9,"377,484",32
76,TRIP,30,15,4.7,"75,834",6.4
77,BUILDING,30,14,2.8,"124,735",10.6
78,HEALTH,30,9,1.2,"300,343",25.5
79,TEACHER,30,4,3.3,"106,857",9.1
80,CHANCE,29,23,2.4,"143,978",12.2
81,QUESTION,29,20,1.2,"281,161",23.9
82,FAN,29,19,8.3,"41,241",3.5
