index,word,freq,# texts,freq/texts,entire corpus,expected
1,GOOD,514,54,1,"722,261",430.7
2,GREAT,367,54,3,"247,274",147.4
3,LITTLE,299,53,2,"243,665",145.3
4,SORRY,212,53,1,"391,288",233.3
5,NICE,139,46,1,"163,671",97.6
6,OTHER,125,47,1,"189,154",112.8
7,BIG,120,47,1,"183,182",109.2
8,RIGHT,119,47,1,"246,051",146.7
9,NEW,117,44,1,"198,412",118.3
10,FINE,117,44,1,"182,561",108.9
11,WHOLE,114,47,2,"115,574",68.9
12,SURE,107,41,1,"269,379",160.6
13,BAD,101,43,1,"162,356",96.8
14,LIKE,99,41,4,"37,732",22.5
15,COOL,94,38,3,"60,111",35.8
16,JUST,84,41,2,"62,659",37.4
17,CRAZY,84,35,2,"70,662",42.1
18,REAL,76,33,1,"130,961",78.1
19,OLD,75,37,1,"167,474",99.9
20,OKAY,75,34,1,"124,526",74.3
21,BEST,74,36,1,"118,430",70.6
22,FREE,63,30,2,"50,355",30
23,LONG,59,34,1,"80,182",47.8
24,READY,57,33,1,"101,519",60.5
25,BEAUTIFUL,57,30,2,"65,032",38.8
26,SUPPOSED,56,29,1,"84,068",50.1
27,FUN,52,29,2,"40,387",24.1
28,WEIRD,50,30,2,"44,046",26.3
29,HAPPY,48,27,1,"101,228",60.4
30,ONLY,46,31,1,"124,421",74.2
31,HARD,44,29,1,"66,495",39.7
32,FUNNY,44,28,1,"55,223",32.9
33,WRONG,42,25,1,"142,533",85
34,HOT,41,21,1,"56,099",33.5
35,AMAZING,38,19,2,"42,419",25.3
36,CUTE,37,22,3,"23,240",13.9
37,DIFFERENT,35,23,1,"77,358",46.1
38,ABLE,33,25,1,"65,670",39.2
39,IMPORTANT,33,23,1,"67,049",40
40,PERFECT,31,22,1,"54,944",32.8
41,HIGH,30,22,1,"58,838",35.1
42,BETTER,30,21.00,0.6,"86,412",51.5
43,FULL,30,20,1,"54,271",32.4
44,SPECIAL,30,19.00,1,"49,237",29.4
45,DEAD,30,17,0,"131,707",78.5
46,EXCITED,29,22,3,"16,274",9.7
47,MAD,29,20,2,"32,167",19.2
48,LEFT,28,19,2,"25,640",15.3
49,ALIVE,28,13,1,"50,871",30.3
50,LATE,27,20,1,"56,374",33.6
51,SMALL,27,19,1,"40,524",24.2
52,SWEET,27,17,1,"39,518",23.6
53,QUICK,26,20,2,"29,188",17.4
54,EASY,25,19,1,"63,049",37.6
55,CLOSE,25,19,1,"34,766",20.7
56,TRUE,24,17,1,"80,752",48.2
57,RED,24,15,1,"38,037",22.7
58,TIRED,23,18,2,"24,473",14.6
59,COLD,23,17,1,"28,343",16.9
60,BLACK,23,13,1,"48,060",28.7
61,HUGE,22,20,2,"24,470",14.6
62,WHITE,21,14,1,"37,402",22.3
63,OPEN,20,17,1,"31,968",19.1
64,PRETTY,20,15,1,"25,108",15
65,GREEN,20,14,2,"17,536",10.5
66,RAW,20,8,7,"4,944",2.9
67,AWFUL,19,16,2,"15,270",9.1
68,ENTIRE,19,14,1,"33,783",20.1
69,SAFE,19,12.00,0.6,"56,996",34
70,SERIOUS,19,8,0.7,"45,258",27
71,INTERESTED,18,15,1,"25,946",15.5
72,FAVORITE,17,13,2,"16,202",9.7
73,LOW,17,11,2,"17,145",10.2
74,TOUGH,16,14,1,"26,038",15.5
75,SUPER,16,12,2,"16,646",9.9
76,GLAD,16,12,1,"47,634",28.4
77,DUMB,16,12,2,"11,605",6.9
78,LOCAL,16,12,1,"18,525",11
79,NORMAL,16,11,1,"27,080",16.1
80,EARLY,16,10.00,1.4,"19,821",11.8
81,PREGNANT,16,6,1,"20,092",12
82,HONEST,15,14,1,"26,476",15.8
83,CLEAR,15,13,1,"39,747",23.7
84,TERRIBLE,15,12,1,"31,235",18.6
85,AVAILABLE,15,11,3,"10,032",6
86,QUIET,15,10,1,"24,184",14.4
87,WONDERFUL,15,9,0.8,"30,545",18.2
88,PROUD,14,11,1,"27,532",16.4
89,SLOW,14,11,2,"10,973",6.5
90,HUNGRY,14,11,1,"18,148",10.8
91,INSANE,14,11,2,"12,040",7.2
92,STRONG,14,10,1,"32,048",19.1
93,FRONT,14,9,2,"14,124",8.4
94,SICK,14,8,1,"41,950",25
95,DAMN,14,7,1,"25,873",15.4
96,GAY,14,4,1,"21,885",13
97,ASLEEP,13,11,2,"12,704",7.6
98,SMART,13,11,1,"24,798",14.8
99,REGULAR,13,11,2,"10,770",6.4
100,WARM,13,10,2,"11,933",7.1
101,POPULAR,13,10,3,"7,781",4.6
102,BUSY,13,8,1,"30,511",18.2
103,DEEP,13,5,2,"13,156",7.8
104,FANTASTIC,12,11,1,"14,858",8.9
105,SIMPLE,12,10,1,"27,869",16.6
106,INTERESTING,12,8,1,"30,203",18
107,SOFT,12,6,2,"9,110",5.4
108,AWESOME,11,11,1,"24,836",14.8
109,DANGEROUS,11,11,1,"26,944",16.1
110,SINGLE,11,10,1,"28,945",17.3
111,YOUNG,11,10,0,"62,519",37.3
112,PERSONAL,11,10,1,"32,008",19.1
113,LUCKY,11,9.00,0.5,"39,960",23.8
114,USED,11,9,1,"14,747",8.8
115,BLUE,11,9,1,"28,422",16.9
116,HUMAN,11,9,1,"38,649",23
117,LIGHT,11,8,2,"10,025",6
118,SEXY,11,8,2,"11,010",6.6
119,PROFESSIONAL,11,7,2,"11,679",7
120,NERVOUS,11,7,1,"19,666",11.7
121,EXTRA,11,6,1,"19,053",11.4
