index,word,freq,# texts,freq/texts,entire corpus,expected
1,YEAR,228,97,3.7,"697,947",62.1
2,STATE,180,64,3.9,"514,269",45.7
3,PEOPLE,164,66,1,"1,783,636",158.6
4,TIME,137,68,0.9,"1,670,106",148.5
5,STORY,112,97,3.9,"319,589",28.4
6,GROUP,111,44,3.9,"318,422",28.3
7,COMPANY,110,37,4.3,"285,479",25.4
8,MILLION,98,47,7.8,"140,957",12.5
9,CITY,85,27,2.6,"374,239",33.3
10,MAN,82,38,1.2,"742,149",66
11,DAY,80,52,1.3,"715,985",63.7
12,POLICE,75,26,3.9,"219,068",19.5
13,GOVERNMENT,73,31,2.1,"396,195",35.2
14,MONTH,72,51,5.4,"149,575",13.3
15,OFFICIAL,72,41,28.7,"28,236",2.5
16,LIFE,69,38,1.1,"719,732",64
17,LAW,69,29,2.8,"276,508",24.6
18,SCHOOL,69,21,1.5,"526,415",46.8
19,WEEK,66,48,2.3,"326,603",29
20,PERCENT,66,31,2.1,"357,450",31.8
21,COUNTRY,65,34,1.9,"377,484",33.6
22,CHILD,61,21,2.8,"242,367",21.5
23,WOMAN,61,19,2.2,"316,918",28.2
24,WAY,60,46,0.6,"1,099,614",97.8
25,DEATH,59,32,3.2,"207,442",18.4
26,FAMILY,59,28,1.5,"440,189",39.1
27,BUSINESS,59,23,2,"323,990",28.8
28,CAMPAIGN,59,18,4.7,"140,015",12.4
29,CASE,58,34,2,"332,769",29.6
30,AREA,56,25,3,"212,917",18.9
31,WORLD,55,28,0.9,"715,119",63.6
32,WORK,55,24,1.4,"456,389",40.6
33,AGENCY,54,24,7.5,"80,562",7.2
34,MONEY,53,22,1.4,"437,181",38.9
35,HOME,52,25,1.9,"308,735",27.5
36,OFFICER,52,20,7.3,"79,865",7.1
37,PLACE,51,33,1.4,"420,531",37.4
38,JOB,51,27,1.8,"312,880",27.8
39,SYSTEM,50,18,1.7,"334,830",29.8
40,LAND,50,11,4.7,"119,925",10.7
41,CHARGE,49,20,12,"46,116",4.1
42,POWER,49,17,1.7,"316,324",28.1
43,REPORT,48,28,3.8,"142,027",12.6
44,PART,46,30,1.2,"432,819",38.5
45,PRESIDENT,46,26,1,"519,549",46.2
46,COMMUNITY,46,23,2.2,"233,660",20.8
47,INVESTIGATION,46,21,7.4,"70,216",6.2
48,EMPLOYEE,46,15,17.1,"30,244",2.7
49,CAR,46,13,2.1,"244,475",21.7
50,MEMBER,45,28,5,"101,511",9
51,THING,45,28,0.9,"572,062",50.9
52,COURT,44,24,2.3,"217,054",19.3
53,OFFICE,44,22,2.1,"233,990",20.8
54,STUDENT,43,15,3.3,"147,051",13.1
55,STATEMENT,42,24,5.4,"86,740",7.7
56,RIGHT,42,19,2,"237,448",21.1
57,PROGRAM,41,21,1.9,"239,084",21.3
58,STUDY,41,14,2,"231,412",20.6
59,PARTY,41,14,1.9,"242,990",21.6
60,CENTER,40,18,2,"224,056",19.9
61,NUMBER,39,28,1.3,"341,227",30.3
62,ISSUE,39,26,2.3,"189,316",16.8
63,HEALTH,39,18,1.5,"300,343",26.7
64,FRIEND,39,18,2.3,"191,751",17
65,DATA,39,16,1.9,"234,526",20.9
66,FISHING,39,9,14.8,"29,687",2.6
67,RECORD,38,24,3.6,"120,098",10.7
