Index,Word,Freq ,# texts,Freq/Texts,Entire Corpus,Expected
1,TIME,2703,603,0.9,"633,282","3,008.40"
2,MAN,2686,584,1.2,"460,331","2,186.80"
3,THING,2484,596,1.5,"351,867","1,671.50"
4,KID,1928,537,4.9,"83,104",394.8
5,BOY,1854,530,3.3,"118,984",565.2
6,WAY,1821,564,0.9,"448,658","2,131.30"
7,DAY,1767,562,1.5,"253,857","1,205.90"
8,GUY,1762,536,1.6,"231,517","1,099.80"
9,PEOPLE,1496,530,0.8,"375,906","1,785.70"
10,LIFE,1422,516,1.2,"252,885","1,201.30"
11,YEAR,1324,504,3.2,"86,492",410.9
12,FRIEND,1163,440,1.9,"128,541",610.6
13,SCHOOL,1091,368,2.3,"100,296",476.5
14,MONEY,1085,382,1.4,"159,001",755.3
15,NAME,1023,441,1.2,"173,609",824.7
16,NIGHT,1012,437,0.9,"246,216","1,169.60"
17,FAMILY,964,386,1.5,"136,620",649
18,BABY,955,392,1.5,"134,956",641.1
19,GIRL,926,393,1.3,"147,918",702.7
20,SIR,908,360,0.9,"209,282",994.2
21,HOUSE,889,368,1.2,"157,991",750.5
22,WORLD,865,416,1.3,"144,765",687.7
23,MINUTE,840,429,2.1,"82,523",392
24,PLACE,836,401,1,"175,215",832.4
25,DOG,824,309,3.8,"45,427",215.8
26,CHILD,823,388,3.5,"48,939",232.5
27,SON,811,325,1.5,"115,519",548.8
28,CAR,809,346,1.2,"141,789",673.6
29,FATHER,701,324,1,"142,279",675.9
30,JOB,682,334,1,"143,207",680.3
31,SHOW,649,261,2.5,"54,770",260.2
32,LOVE,637,300,1.4,"96,536",458.6
33,WOMAN,625,285,1.1,"125,032",594
34,MOVIE,623,251,4.5,"29,143",138.4
35,BACK,622,352,1,"136,882",650.3
36,TOWN,616,270,2.2,"59,975",284.9
37,LOT,612,348,0.9,"150,057",712.8
38,WORD,611,346,1.7,"75,170",357.1
39,EYE,602,337,3.4,"37,288",177.1
40,WIFE,597,296,1.3,"97,964",465.4
41,GAME,595,244,1.7,"73,737",350.3
42,BOOK,587,268,2.5,"49,589",235.6
43,HEAD,570,345,1.1,"105,496",501.2
44,PROBLEM,568,340,1.1,"105,830",502.7
45,KIND,558,353,0.9,"126,335",600.1
