index,word,freq,# texts,freq/texts,entire corpus,expected
1,GOOD,2426,582,0.7,"722,261","3,431.10"
2,LITTLE,1538,537,1.3,"243,665","1,157.50"
3,GREAT,1340,512,1.1,"247,274","1,174.70"
4,NEW,1312,504,1.4,"198,412",942.5
5,OLD,1234,482,1.6,"167,474",795.6
6,BAD,1214,496,1.6,"162,356",771.3
7,BIG,1166,488,1.3,"183,182",870.2
8,RIGHT,1108,510,0.9,"246,051","1,168.90"
9,SURE,952,468,0.7,"269,379","1,279.70"
10,SORRY,923,457,0.5,"391,288","1,858.80"
11,REAL,734,381,1.2,"130,961",622.1
12,BEST,656,376,1.2,"118,430",562.6
13,OTHER,653,383,0.7,"189,154",898.6
14,HAPPY,630,341,1.3,"101,228",480.9
15,NICE,617,369,0.8,"163,671",777.5
16,ONLY,604,364,1,"124,421",591.1
17,WRONG,588,346,0.9,"142,533",677.1
18,STUPID,546,337,2.1,"54,271",257.8
19,WHOLE,498,321,0.9,"115,574",549
20,FREE,491,291,2.1,"50,355",239.2
21,DEAD,475,275,0.8,"131,707",625.7
22,BETTER,472,303,1.1,"86,412",410.5
23,FINE,445,295,0.5,"182,561",867.2
24,CRAZY,445,276,1.3,"70,662",335.7
25,YOUNG,432,283,1.5,"62,519",297
26,SWEET,421,271,2.2,"39,518",187.7
27,COOL,415,262,1.5,"60,111",285.6
28,OKAY,412,277,0.7,"124,526",591.6
29,TRUE,411,275,1.1,"80,752",383.6
30,BEAUTIFUL,409,273,1.3,"65,032",308.9
31,AFRAID,388,279,1.3,"63,948",303.8
32,FUNNY,382,239,1.5,"55,223",262.3
33,HOT,372,242,1.4,"56,099",266.5
34,SPECIAL,354,238,1.5,"49,237",233.9
35,FULL,347,248,1.3,"54,271",257.8
36,FUN,337,232,1.8,"40,387",191.9
37,SUPPOSED,328,240,0.8,"84,068",399.4
38,PERFECT,310,218,1.2,"54,944",261
39,LATE,305,236,1.1,"56,374",267.8
40,HARD,296,225,0.9,"66,495",315.9
41,LONG,280,221,0.7,"80,182",380.9
42,HIGH,273,185,1,"58,838",279.5
43,READY,272,201,0.6,"101,519",482.3
44,EASY,269,201,0.9,"63,049",299.5
45,FAT,258,179,4,"13,602",64.6
46,IMPORTANT,257,196,0.8,"67,049",318.5
47,JUST,252,202,0.8,"62,659",297.7
48,WONDERFUL,252,182,1.7,"30,545",145.1
49,MAD,250,172,1.6,"32,167",152.8
50,ALIVE,246,173,1,"50,871",241.7
51,GLAD,243,185,1.1,"47,634",226.3
52,SMART,220,147,1.9,"24,798",117.8
53,SICK,218,173,1.1,"41,950",199.3
54,TERRIBLE,213,167,1.4,"31,235",148.4
55,RICH,212,142,2.3,"19,757",93.9
56,PROUD,209,151,1.6,"27,532",130.8
57,POOR,204,151,1.3,"33,115",157.3
58,SMALL,202,154,1,"40,524",192.5
59,SAFE,200,156,0.7,"56,996",270.8
60,FAIR,199,147,1.6,"25,712",122.1
61,DIFFERENT,198,154,0.5,"77,358",367.5
62,SAD,197,148,2,"20,908",99.3
63,ALONE,193,157,0.8,"48,987",232.7
64,LUCKY,177,123,0.9,"39,960",189.8
65,FAVORITE,174,134,2.3,"16,202",77
66,HUMAN,173,135,0.9,"38,649",183.6
67,CUTE,170,130,1.5,"23,240",110.4
68,TIRED,167,139,1.4,"24,473",116.3
69,NUCLEAR,166,93,5,"6,968",33.1
70,LOW,160,132,2,"17,145",81.4
71,GAY,158,89,1.5,"21,885",104
72,BLUE,156,113,1.2,"28,422",135
73,HORRIBLE,154,128,2.2,"14,839",70.5
74,DRUNK,152,117,1.7,"18,502",87.9
75,LIKE,149,120,0.8,"37,732",179.2
76,EXTRA,147,116,1.6,"19,053",90.5
77,WEIRD,146,120,0.7,"44,046",209.2
