index,word,freq,# texts,freq/texts,entire corpus,expected
1,FUCKING,938,78,17,"38,706",55.1
2,GOOD,924,85,0.9,"722,261","1,028.50"
3,SORRY,395,84,0.7,"391,288",557.2
4,OTHER,385,82,1.4,"189,154",269.4
5,LITTLE,383,84,1.1,"243,665",347
6,OLD,373,82,1.6,"167,474",238.5
7,BAD,351,85,1.5,"162,356",231.2
8,RIGHT,346,81,1,"246,051",350.4
9,SURE,282,80,0.7,"269,379",383.6
10,BIG,277,80,1.1,"183,182",260.8
11,NEW,261,80,0.9,"198,412",282.5
12,NICE,243,78,1,"163,671",233.1
13,GREAT,240,74,0.7,"247,274",352.1
14,WRONG,213,71,1,"142,533",203
15,OKAY,166,63,0.9,"124,526",177.3
16,WHOLE,165,71,1,"115,574",164.6
17,SUPPOSED,164,73,1.4,"84,068",119.7
18,FINE,155,73,0.6,"182,561",260
19,DEAD,153,62,0.8,"131,707",187.5
20,REAL,144,69,0.8,"130,961",186.5
21,BEAUTIFUL,131,62,1.4,"65,032",92.6
22,EASY,122,61,1.4,"63,049",89.8
23,BEST,121,60,0.7,"118,430",168.6
24,HAPPY,120,65,0.8,"101,228",144.1
25,BETTER,118,65,1,"86,412",123
26,DIFFERENT,115,61,1,"77,358",110.2
27,ONLY,112,56,0.6,"124,421",177.2
28,SICK,107,58,1.8,"41,950",59.7
29,LATE,102,61,1.3,"56,374",80.3
30,HIGH,102,58,1.2,"58,838",83.8
31,HARD,97,48,1,"66,495",94.7
32,YOUNG,96,59,1.1,"62,519",89
33,STUPID,95,55,1.2,"54,271",77.3
34,SERIOUS,93,56,1.4,"45,258",64.4
35,LONG,86,53,0.8,"80,182",114.2
36,TRUE,86,49,0.7,"80,752",115
37,FUNNY,80,47,1,"55,223",78.6
38,CRAZY,79,51,0.8,"70,662",100.6
39,IMPORTANT,79,49,0.8,"67,049",95.5
40,READY,75,46,0.5,"101,519",144.6
41,JUNIOR,75,24,6.7,"7,857",11.2
42,POOR,69,47,1.5,"33,115",47.2
43,ALONE,68,48,1,"48,987",69.8
44,GODDAMN,66,48,5.5,"8,398",12
45,JUST,66,38,0.7,"62,659",89.2
46,LUCKY,65,41,1.1,"39,960",56.9
47,GLAD,63,37,0.9,"47,634",67.8
48,FULL,62,47,0.8,"54,271",77.3
49,BLUE,61,21,1.5,"28,422",40.5
50,MARRIED,60,41,1.3,"31,468",44.8
51,BUSY,59,40,1.4,"30,511",43.4
52,WONDERFUL,58,33,1.3,"30,545",43.5
53,LIKE,57,40,1.1,"37,732",53.7
54,BLACK,56,40,0.8,"48,060",68.4
55,CLOSE,55,39,1.1,"34,766",49.5
56,FAT,55,33,2.8,"13,602",19.4
57,SAD,54,35,1.8,"20,908",29.8
58,SMART,53,35,1.5,"24,798",35.3
59,SWEET,52,38,0.9,"39,518",56.3
60,GRAND,52,32,2,"18,687",26.6
61,FREE,51,41,0.7,"50,355",71.7
62,TINE,51,1,607,59,0.1
63,TOUGH,50,34,1.3,"26,038",37.1
64,INTERESTING,50,34,1.2,"30,203",43
65,SPECIAL,48,36,0.7,"49,237",70.1
66,HOT,47,32,0.6,"56,099",79.9
67,AFRAID,46,34,0.5,"63,948",91.1
68,OPEN,46,30,1,"31,968",45.5
69,ALIVE,44,31,0.6,"50,871",72.4
70,COOL,44,29,0.5,"60,111",85.6
71,HONEST,44,28,1.2,"26,476",37.7
72,MAJOR,43,34,2,"15,208",21.7
73,CERTAIN,43,29,1.2,"25,883",36.9
74,PROUD,42,30,1.1,"27,532",39.2
75,HORRIBLE,40,24,1.9,"14,839",21.1
76,MAD,40,20,0.9,"32,167",45.8
77,STRONG,39,29,0.9,"32,048",45.6
78,INTERESTED,39,28,1.1,"25,946",36.9
79,POSSIBLE,39,28,0.6,"47,614",67.8
80,SMALL,37,31,0.6,"40,524",57.7
81,MEDICAL,36,31,1.1,"22,019",31.4
82,HUNGRY,36,30,1.4,"18,148",25.8
83,SHORT,36,28,1.1,"23,738",33.8
84,SAFE,36,28,0.4,"56,996",81.2
85,CONCERNED,36,26,1.6,"16,281",23.2
86,WORRIED,36,25,1.3,"19,281",27.5
87,HUGE,35,32,1,"24,470",34.8
88,ABLE,35,25,0.4,"65,670",93.5
89,DEPRESSED,35,22,6.6,"3,697",5.3
90,PERSONAL,34,30,0.7,"32,008",45.6
91,COLD,34,29,0.8,"28,343",40.4
92,MEAN,34,28,1.9,"12,362",17.6
93,TERRIBLE,34,25,0.8,"31,235",44.5
94,WEIRD,33,29,0.5,"44,046",62.7
95,CUTE,33,24,1,"23,240",33.1
96,GAY,33,16,1.1,"21,885",31.2
97,ITALIAN,32,16,5.1,"4,432",6.3
98,ALRIGHT,32,13,4.1,"5,547",7.9
99,DUE,31,25,2,"11,070",15.8
100,WHITE,31,21,0.6,"37,402",53.3
101,SCARED,31,18,0.7,"30,361",43.2
102,TIRED,30,25,0.9,"24,473",34.8
103,BROAD,30,23,7.5,"2,824",4
104,SIMPLE,30,22,0.8,"27,869",39.7
105,RICH,29,19,1,"19,757",28.1
