index,word,freq,# texts,freq/texts,entire corpus,expected
1,TIME,66,8,1.1,"633,282",59.4
2,THING,51,8,1.5,"351,867",33
3,KID,49,8,6.3,"83,104",7.8
4,MOM,43,8,3.3,"137,432",12.9
5,MAN,37,7,0.9,"460,331",43.2
6,WAY,34,8,0.8,"448,658",42.1
7,NIGHT,33,6,1.4,"246,216",23.1
8,FRIEND,31,7,2.6,"128,541",12.1
9,GUY,31,7,1.4,"231,517",21.7
10,SON,29,6,2.7,"115,519",10.8
11,HELL,28,8,2.2,"138,697",13
12,HOUSE,28,8,1.9,"157,991",14.8
13,BOY,27,8,2.4,"118,984",11.2
14,GIRL,24,6,1.7,"147,918",13.9
15,PARENT,22,7,40.1,"5,843",0.5
16,PLACE,21,8,1.3,"175,215",16.4
17,MIND,21,7,3.1,"71,946",6.7
18,NAME,20,8,1.2,"173,609",16.3
19,SCHOOL,20,7,2.1,"100,296",9.4
20,GATE,19,3,22.1,"9,171",0.9
21,STUFF,16,8,1.8,"92,865",8.7
22,YEAR,16,6,2,"86,492",8.1
23,BLOOD,16,6,2.4,"71,288",6.7
24,PEOPLE,15,7,0.4,"375,906",35.3
25,SHIT,15,6,2.2,"71,987",6.8
26,BACK,14,6,1.1,"136,882",12.8
27,COMPASS,14,3,98.6,"1,514",0.1
28,FUNERAL,14,3,14,"10,689",1
29,DAD,13,7,0.8,"170,671",16
30,CAUSE,13,7,1.2,"116,400",10.9
31,WEEK,13,7,1.7,"79,720",7.5
32,HOUR,13,6,2.7,"51,659",4.8
33,LOOK,13,6,2.2,"63,624",6
34,ROOM,13,6,1.1,"128,653",12.1
35,HAND,13,5,1.9,"73,824",6.9
36,SECOND,12,7,2.5,"51,742",4.9
37,BABY,12,6,0.9,"134,956",12.7
38,CHIEF,12,6,5,"25,583",2.4
39,RIGHT,12,5,1.5,"87,141",8.2
40,LIGHT,12,5,4,"32,067",3
41,KIND,12,5,1,"126,335",11.8
42,DAY,11,7,0.5,"253,857",23.8
43,HEAD,11,6,1.1,"105,496",9.9
44,MINUTE,11,6,1.4,"82,523",7.7
45,SISTER,11,5,2.1,"55,767",5.2
46,WALL,11,5,4.8,"24,366",2.3
47,PARTY,11,5,1.5,"78,159",7.3
48,POWER,11,5,1.8,"66,314",6.2
49,COP,11,5,4.8,"24,193",2.3
50,DANGER,11,5,6.9,"17,053",1.6
51,TROUBLE,11,4,2,"57,366",5.4
52,WORLD,11,3,0.8,"144,765",13.6
53,HONEY,10,6,1.7,"62,229",5.8
54,DEATH,10,6,1.4,"75,888",7.1
55,DOOR,10,6,1.3,"79,169",7.4
56,FAMILY,10,5,0.8,"136,620",12.8
57,LOT,10,5,0.7,"150,057",14.1
58,DAUGHTER,10,5,1.8,"60,898",5.7
59,MORNING,10,4,0.9,"121,953",11.4
60,FACE,10,3,1.4,"76,827",7.2
61,BROTHER,9,6,1.2,"81,004",7.6
62,MONSTER,9,6,6.9,"14,007",1.3
63,SCIENCE,9,6,5.8,"16,415",1.5
64,CAR,9,5,0.7,"141,789",13.3
65,POINT,9,4,1.2,"83,235",7.8
66,BODY,9,3,1.2,"77,673",7.3
67,PHONE,8,6,0.9,"90,991",8.5
68,SWEETIE,8,6,5.4,"15,775",1.5
69,LIFE,8,6,0.3,"252,885",23.7
70,WEIRDO,8,5,61.8,"1,381",0.1
71,PLAN,8,5,1.7,"50,100",4.7
72,PROBLEM,8,5,0.8,"105,830",9.9
73,QUESTION,8,5,1.3,"63,274",5.9
74,SENSE,8,5,1.9,"44,554",4.2
75,HELP,8,5,1.3,"66,377",6.2
76,HOME,8,4,1.2,"70,988",6.7
77,GAME,8,4,1.2,"73,737",6.9
78,IDEA,8,4,0.6,"133,211",12.5
79,MATTER,8,3,2.1,"41,394",3.9
80,HAIR,8,3,1.9,"45,214",4.2
81,DEAL,7,5,1.2,"61,491",5.8
82,WORD,7,5,1,"75,170",7.1
83,CARE,7,5,1.3,"58,453",5.5
84,WEAPON,7,4,3.3,"22,938",2.2
85,WATER,7,4,1,"71,437",6.7
86,STUDENT,7,4,6.1,"12,181",1.1
87,BITCH,7,4,2.3,"33,152",3.1
88,MOTHER,7,4,0.6,"125,597",11.8
89,MONEY,7,3,0.5,"159,001",14.9
90,POLICE,7,3,1,"78,377",7.4
91,CALL,7,2,1.3,"57,257",5.4
92,DIMENSION,7,1,28,"2,667",0.3
93,ROCKET,6,4,11.9,"5,355",0.5
94,SPACE,6,4,1.9,"33,975",3.2
95,ARM,6,4,3.5,"18,126",1.7
96,LADY,6,4,1.1,"56,675",5.3
97,NEWS,6,3,1,"61,959",5.8
98,SIDE,6,3,0.9,"69,754",6.5
99,FOOD,6,3,1.2,"53,718",5
100,TRAP,6,3,8.4,"7,626",0.7
101,CLOTHES,6,3,2.6,"24,614",2.3
102,FIELD,6,3,2.6,"24,413",2.3
103,FAULT,6,3,1.7,"36,732",3.4
104,VOICE,6,3,2,"31,270",2.9
105,TEST,6,2,2.4,"26,881",2.5
106,ACROBAT,6,2,528.7,121,0
107,QUARRY,6,2,56.6,"1,130",0.1
108,TROOPER,6,1,107,598,0.1
109,PICTURE,5,4,1.6,"33,677",3.2
110,NUMBER,5,4,0.8,"70,461",6.6
111,MOUTH,5,4,1.9,"28,240",2.6
112,ASSHOLE,5,4,6.6,"8,074",0.8
113,BED,5,4,1.1,"50,458",4.7
114,EXPERIMENT,5,4,9.1,"5,848",0.5
115,EYE,5,4,1.4,"37,288",3.5
116,COUPLE,5,3,0.7,"73,371",6.9
117,WRIST,5,3,15.2,"3,513",0.3
118,BIKE,5,3,5.8,"9,167",0.9
119,STATION,5,3,2,"26,333",2.5
120,MILLION,5,3,1.3,"39,757",3.7
121,PART,5,3,0.6,"93,711",8.8
122,LINE,5,3,0.9,"59,849",5.6
123,BREATHING,5,3,13.7,"3,900",0.4
124,FLEA,5,2,65.8,810,0.1
125,CAMERA,5,2,2.7,"19,848",1.9
126,CHANCE,5,2,0.7,"80,432",7.5
127,BEAR,5,2,5,"10,668",1
128,SIR,5,2,0.3,"209,282",19.6
129,NORTH,5,1,2.5,"21,115",2
130,SUPERPOWER,4,4,86.2,495,0
131,SIGN,4,4,1.9,"22,932",2.2
132,TRUTH,4,4,0.6,"66,483",6.2
133,DARK,4,4,4,"10,693",1
134,ANIMAL,4,4,2.6,"16,143",1.5
135,NOSE,4,4,2.7,"16,072",1.5
136,HEART,4,4,0.6,"73,450",6.9
137,LUCK,4,3,1,"42,939",4
138,FREAK,4,3,7.5,"5,686",0.5
139,GRADE,4,3,5.6,"7,582",0.7
140,BREATHER,4,3,78,547,0.1
141,ASSEMBLY,4,3,25.6,"1,667",0.2
142,ENERGY,4,3,2,"20,861",2
143,BOYFRIEND,4,3,1.6,"27,165",2.5
144,BOOK,4,3,0.9,"49,589",4.7
145,CRAP,4,3,1.9,"22,886",2.1
146,CREEP,4,3,22.8,"1,869",0.2
147,SEARCH,4,3,3.2,"13,271",1.2
148,WOOD,4,3,5.2,"8,260",0.8
149,TRAITOR,4,3,10.5,"4,060",0.4
150,WORK,4,3,0.3,"124,958",11.7
151,TANK,4,2,5.8,"7,308",0.7
152,STATE,4,2,1.4,"31,352",2.9
153,STORM,4,2,4.3,"9,847",0.9
154,CAMPAIGN,4,2,4.5,"9,538",0.9
155,ACCIDENT,4,2,1.6,"27,186",2.5
156,BATH,4,2,5.6,"7,557",0.7
157,HOLE,4,2,2.2,"19,341",1.8
158,FIREBALL,4,2,61.2,697,0.1
159,IDIOT,4,2,2.3,"18,560",1.7
160,HUNTING,4,2,7.2,"5,907",0.6
161,KITCHEN,4,2,1.8,"23,282",2.2
162,DRAWING,4,1,18.4,"2,316",0.2
163,ROCK,4,1,1.9,"21,899",2.1
