index,word,freq,# texts,freq/texts,entire corpus,expected
1,GOOD,80,7,0.6,"500,883",143.8
2,SORRY,50,6,0.8,"221,966",63.7
3,RIGHT,45,7,1.1,"147,471",42.3
4,GREAT,45,7,1.1,"148,535",42.7
5,HUMAN,44,7,6.8,"22,654",6.5
6,OLD,44,7,1.2,"131,241",37.7
7,LITTLE,39,7,0.8,"177,406",50.9
8,SURE,37,7,0.9,"150,747",43.3
9,OKAY,35,5,1.6,"75,985",21.8
10,BAD,34,7,1.2,"97,977",28.1
11,ONLY,31,6,1.6,"67,573",19.4
12,WRONG,31,6,1.3,"84,385",24.2
13,STRONG,28,7,5,"19,632",5.6
14,DIFFERENT,28,7,2.1,"45,980",13.2
15,BIG,27,7,0.7,"125,557",36.1
16,HAPPY,27,7,1.5,"63,782",18.3
17,TRUE,27,6,1.8,"51,421",14.8
18,AMAZING,27,6,4.8,"19,709",5.7
19,REAL,26,7,1,"87,648",25.2
20,AFRAID,26,6,1.9,"48,006",13.8
21,BEAUTIFUL,25,7,1.4,"60,975",17.5
22,DEAD,24,6,1,"82,503",23.7
23,NEW,23,7,0.7,"110,779",31.8
24,NICE,22,7,0.7,"114,289",32.8
25,OTHER,22,7,0.7,"111,592",32
26,ALIVE,21,7,2.4,"30,578",8.8
27,PERFECT,21,6,2.5,"29,305",8.4
28,SAFE,20,6,2.4,"28,844",8.3
29,WHOLE,19,6,0.9,"71,888",20.6
30,ALONE,19,5,1.8,"37,466",10.8
31,JUST,18,6,1.9,"33,436",9.6
32,FUN,18,6,3,"20,819",6
33,LATE,18,6,1.7,"36,804",10.6
34,EASY,18,5,1.5,"42,800",12.3
35,FINE,17,6,0.6,"103,001",29.6
36,SUPPOSED,17,5,1.4,"42,005",12.1
37,GLAD,16,5,1.7,"31,869",9.2
38,READY,15,7,0.8,"65,320",18.8
39,HARD,15,6,1.5,"35,759",10.3
40,CRAZY,15,6,1,"54,488",15.6
41,BEST,15,5,0.8,"68,411",19.6
42,COOL,15,4,1.5,"33,960",9.8
43,SICK,14,6,1.6,"29,778",8.6
44,LONG,13,6,0.8,"56,347",16.2
45,DANGEROUS,13,4,2.9,"15,743",4.5
46,COLD,12,5,1.9,"21,664",6.2
47,BETTER,12,5,0.8,"52,225",15
48,HEAVY,12,2,4.3,"9,711",2.8
49,FULL,11,6,1.2,"32,500",9.3
50,STRANGE,11,5,2.1,"17,958",5.2
51,YOUNG,11,5,0.7,"53,617",15.4
52,IMPORTANT,11,5,0.9,"40,745",11.7
53,FUNNY,11,4,0.9,"40,693",11.7
54,AWESOME,11,4,3.6,"10,549",3
55,LIKE,10,6,1.3,"26,228",7.5
56,POSSIBLE,10,5,1.5,"22,812",6.6
57,NORMAL,10,3,2.6,"13,256",3.8
58,WEIRD,10,3,1.8,"19,147",5.5
59,ABLE,9,6,1,"32,842",9.4
60,CLEAR,9,4,1.5,"20,580",5.9
61,WONDERFUL,9,4,1,"31,379",9
62,NEWBORN,9,2,65.2,481,0.1
63,EVIL,9,1,4.2,"7,415",2.1
64,WORRIED,8,6,2.9,"9,577",2.8
65,TIRED,8,6,1.3,"21,742",6.2
66,LUCKY,8,5,1.1,"25,465",7.3
67,PRETTY,8,5,1.2,"22,605",6.5
68,WARM,8,5,3.2,"8,594",2.5
69,POWERFUL,8,4,3.5,"7,914",2.3
70,HIGH,8,4,0.8,"35,806",10.3
71,CAREFUL,8,4,1.2,"22,831",6.6
72,SPECIAL,7,5,0.8,"29,002",8.3
73,STILL,7,5,3.4,"7,150",2.1
74,SMALL,7,4,0.9,"26,161",7.5
75,CLOSE,7,4,1.3,"18,467",5.3
76,IMPOSSIBLE,7,4,2,"12,157",3.5
77,FAST,7,4,3.9,"6,222",1.8
78,ENTIRE,7,4,1.5,"16,087",4.6
79,FAVORITE,7,4,2.8,"8,788",2.5
80,EXCITED,7,1,2.9,"8,460",2.4
81,OBSESSED,7,1,12.3,"1,985",0.6
82,DARK,6,4,1.7,"12,371",3.6
83,STUPID,6,4,0.6,"33,956",9.8
84,WHITE,6,4,0.7,"30,188",8.7
85,MARRIED,6,4,0.9,"22,914",6.6
86,LEFT,6,4,1,"20,680",5.9
87,MAGICAL,6,3,8.7,"2,389",0.7
88,SMART,6,3,1.3,"15,496",4.4
89,FRONT,6,3,2.5,"8,376",2.4
90,EXCITING,6,2,2.9,"7,218",2.1
91,FAIR,6,2,1.3,"15,698",4.5
92,SERIOUS,5,5,0.6,"28,247",8.1
93,NATURAL,5,4,1.9,"9,050",2.6
94,RED,5,4,0.8,"22,246",6.4
95,SURPRISED,5,4,2,"8,630",2.5
96,HOT,5,4,0.5,"34,583",9.9
97,GRATEFUL,5,4,3.3,"5,268",1.5
98,CERTAIN,5,3,1,"16,625",4.8
