index,word,freq,# texts,freq/texts,entire corpus,expected
1,GOOD,271,45,0.8,"722,261",340.6
2,LITTLE,140,42,1.2,"243,665",114.9
3,RIGHT,119,40,1,"246,051",116
4,SORRY,115,39,0.6,"391,288",184.5
5,SURE,102,38,0.8,"269,379",127
6,OLD,101,37,1.3,"167,474",79
7,BAD,89,36,1.2,"162,356",76.6
8,NEW,82,33,0.9,"198,412",93.6
9,BIG,81,33,0.9,"183,182",86.4
10,FINE,80,32,0.9,"182,561",86.1
11,GREAT,79,34,0.7,"247,274",116.6
12,OKAY,79,30,1.3,"124,526",58.7
13,OTHER,78,34,0.9,"189,154",89.2
14,DEAD,76,32,1.2,"131,707",62.1
15,WRONG,71,32,1.1,"142,533",67.2
16,BEAUTIFUL,63,27,2.1,"65,032",30.7
17,REAL,59,32,1,"130,961",61.8
18,NICE,54,33,0.7,"163,671",77.2
19,BEST,54,28,1,"118,430",55.9
20,SUPPOSED,52,24,1.3,"84,068",39.6
21,HAPPY,49,23,1,"101,228",47.7
22,LATE,48,29,1.8,"56,374",26.6
23,WHOLE,43,26,0.8,"115,574",54.5
24,HARD,43,24,1.4,"66,495",31.4
25,AFRAID,42,21,1.4,"63,948",30.2
26,HIGH,41,26,1.5,"58,838",27.7
27,LONG,40,23,1.1,"80,182",37.8
28,DIFFERENT,38,17,1,"77,358",36.5
29,EASY,36,22,1.2,"63,049",29.7
30,TRUE,36,21,0.9,"80,752",38.1
31,FUCKING,36,11,2,"38,706",18.3
32,ONLY,34,21,0.6,"124,421",58.7
33,STRANGE,34,20,3.3,"21,590",10.2
34,BETTER,33,22,0.8,"86,412",40.8
35,CERTAIN,32,23,2.6,"25,883",12.2
36,LOCAL,32,22,3.7,"18,525",8.7
37,FULL,32,17,1.3,"54,271",25.6
38,BLACK,30,19,1.3,"48,060",22.7
39,CLEAR,28,21,1.5,"39,747",18.7
40,IMPORTANT,28,19,0.9,"67,049",31.6
41,TERRIBLE,28,19,1.9,"31,235",14.7
42,READY,28,18,0.6,"101,519",47.9
43,SAFE,28,18,1,"56,996",26.9
44,SIMPLE,26,17,2,"27,869",13.1
45,SICK,25,20,1.3,"41,950",19.8
46,DAMN,25,19,2,"25,873",12.2
47,LUCKY,25,18,1.3,"39,960",18.8
48,YOUNG,25,17,0.8,"62,519",29.5
49,SMALL,25,17,1.3,"40,524",19.1
50,RED,25,16,1.4,"38,037",17.9
51,SWEET,25,15,1.3,"39,518",18.6
52,WHITE,24,12,1.4,"37,402",17.6
53,ATMOSPHERIC,24,2,76.6,664,0.3
54,POSSIBLE,23,18,1,"47,614",22.5
55,ABLE,23,18,0.7,"65,670",31
56,SPECIAL,22,16,0.9,"49,237",23.2
57,SERIOUS,22,16,1,"45,258",21.3
58,CLOSE,22,12,1.3,"34,766",16.4
59,FUNNY,21,17,0.8,"55,223",26
60,HOT,21,16,0.8,"56,099",26.5
61,CRAZY,21,15,0.6,"70,662",33.3
62,PERFECT,21,12,0.8,"54,944",25.9
63,OPEN,20,18,1.3,"31,968",15.1
64,SECRET,20,18,2.1,"20,531",9.7
65,GLAD,20,15,0.9,"47,634",22.5
66,PERSONAL,20,14,1.3,"32,008",15.1
67,WEIRD,20,14,1,"44,046",20.8
68,ALIVE,19,14,0.8,"50,871",24
69,MAD,19,13,1.3,"32,167",15.2
70,FREE,19,13,0.8,"50,355",23.7
71,MAJOR,19,9,2.6,"15,208",7.2
72,WILD,19,5,2.8,"14,286",6.7
73,COOL,18,13,0.6,"60,111",28.3
74,QUIET,18,13,1.6,"24,184",11.4
75,STRONG,18,11,1.2,"32,048",15.1
76,ALRIGHT,18,7,6.9,"5,547",2.6
77,FAMILIAR,17,15,3,"11,851",5.6
78,ALONE,17,13,0.7,"48,987",23.1
79,PRETTY,17,12,1.4,"25,108",11.8
80,LARGE,17,10,2.4,"15,024",7.1
81,INCREDIBLE,16,13,2.4,"14,319",6.8
82,MARRIED,16,11,1.1,"31,468",14.8
83,MISSING,16,9,2.3,"14,776",7
