index,word,freq,# texts,freq/texts,entire corpus,expected
1,OTHER,158,34,1.6,"1,278,990",97.8
2,HIGH,110,25,3.7,"383,759",29.4
3,NEW,76,27,1,"1,000,511",76.5
4,LOW,56,17,5.6,"131,433",10.1
5,RANDOM,54,1,28.4,"24,888",1.9
6,AVAILABLE,51,16,4.4,"151,394",11.6
7,VISUAL,49,6,17.1,"37,356",2.9
8,IMPORTANT,48,23,1.9,"331,714",25.4
9,SMALL,46,21,1.9,"316,629",24.2
10,LARGE,46,13,2.8,"218,195",16.7
11,EARLY,45,9,3.3,"178,455",13.7
12,ABLE,44,13,2.1,"279,598",21.4
13,LONG,40,12,1.7,"305,317",23.4
14,LEFT,38,6,4.3,"114,642",8.8
15,NERVOUS,38,4,14.7,"33,754",2.6
16,GREAT,36,15,0.9,"552,238",42.2
17,DIFFERENT,35,16,1.1,"413,646",31.6
18,CURRENT,33,13,2.9,"148,398",11.4
19,AGRICULTURAL,32,4,23.3,"17,939",1.4
20,RIGHT,30,8,1,"374,445",28.6
21,POSSIBLE,29,14,1.8,"213,869",16.4
22,GOOD,29,13,0.3,"1,112,083",85.1
23,INDUSTRIAL,28,2,10.4,"35,298",2.7
24,SHORT,27,11,2.7,"129,398",9.9
25,PUBLIC,27,6,1.3,"265,182",20.3
26,DRY,26,3,7.5,"45,141",3.5
27,HUMAN,25,18,1.4,"236,273",18.1
28,OLD,25,14,0.8,"424,920",32.5
29,SIMPLE,25,8,2.7,"120,721",9.2
30,MAJOR,24,11,1.8,"175,475",13.4
31,SIMILAR,24,9,2.4,"129,292",9.9
32,LATE,23,6,2.1,"140,264",10.7
33,MODERN,23,6,3.6,"83,986",6.4
34,CENTRAL,23,5,2.9,"104,411",8
35,LIGHT,22,7,5.3,"53,930",4.1
36,ENVIRONMENTAL,22,5,3.6,"80,344",6.1
37,MEDICAL,22,3,2.1,"136,518",10.4
38,LOCAL,21,7,1.4,"200,659",15.4
39,DIFFICULT,20,8,1.9,"136,509",10.4
40,CERTAIN,20,6,1.7,"154,094",11.8
41,GROWING,20,3,5,"52,668",4
42,ENTIRE,19,10,2,"122,401",9.4
43,SIGNIFICANT,19,10,2,"123,049",9.4
44,VARIOUS,19,10,2.5,"99,839",7.6
45,BEST,19,9,0.7,"348,166",26.6
46,MAIN,19,7,2.4,"103,814",7.9
47,WIDE,19,7,3.8,"65,939",5
48,CEREBRAL,19,5,69.4,"3,580",0.3
49,INTERNATIONAL,19,4,1.6,"157,746",12.1
50,RAW,19,1,9,"27,525",2.1
51,YOUNG,17,7,0.8,"274,046",21
52,INCREASED,16,7,5.1,"41,363",3.2
53,ACCESSIBLE,16,3,12.5,"16,763",1.3
54,WESTERN,16,2,3.1,"67,108",5.1
55,ONLY,15,9,0.6,"326,043",24.9
56,GENERAL,15,8,1.3,"146,305",11.2
57,FOLLOWING,15,8,2.9,"66,706",5.1
58,COMMON,15,7,1.5,"130,021",9.9
59,TRUE,15,6,0.8,"232,607",17.8
60,SPINAL,15,3,38.3,"5,118",0.4
61,COMMERCIAL,15,2,2.8,"68,835",5.3
62,NUCLEAR,14,1,2.3,"79,467",6.1
63,BASIC,13,12,2.3,"74,224",5.7
64,SINGLE,13,10,1.1,"149,085",11.4
65,ADDITIONAL,13,9,2.3,"72,549",5.5
66,PARTICULAR,13,8,1.8,"92,796",7.1
67,EASY,13,8,1.1,"151,257",11.6
68,PERSONAL,13,7,1,"164,326",12.6
69,BETTER,13,7,0.7,"247,552",18.9
70,PRIMARY,13,6,2.9,"58,998",4.5
71,MIDDLE,13,6,1.8,"93,799",7.2
72,DIRECT,13,5,2.9,"58,306",4.5
73,TOTAL,13,3,1.9,"91,100",7
74,WISE,13,3,7.8,"21,713",1.7
75,SPECIFIC,12,10,1.5,"101,255",7.7
76,NECESSARY,12,10,1.6,"95,613",7.3
77,NORMAL,12,9,1.9,"82,095",6.3
78,SUCCESSFUL,12,7,2,"78,017",6
79,BIG,12,7,0.3,"470,472",36
80,GLOBAL,12,6,1.6,"99,852",7.6
81,RECENT,12,6,1,"151,676",11.6
82,STANDARD,12,5,3.3,"47,112",3.6
83,URBAN,12,5,3.4,"45,647",3.5
84,FINE,12,5,0.9,"178,043",13.6
85,ACADEMIC,12,5,2.7,"57,726",4.4
86,ANNUAL,12,4,2.6,"59,303",4.5
87,SURE,12,4,0.4,"382,903",29.3
88,STRONG,12,4,1,"150,167",11.5
89,COMPOSITE,12,2,27.2,"5,773",0.4
90,WHOLE,11,8,0.6,"233,166",17.8
91,FREE,11,7,0.6,"240,760",18.4
92,LEGAL,11,6,1.3,"107,152",8.2
93,DARK,11,6,1.6,"92,201",7.1
94,ANCIENT,11,5,3.4,"42,627",3.3
95,USEFUL,11,5,2.9,"49,475",3.8
96,FOREIGN,11,5,1.3,"111,560",8.5
97,EXCELLENT,11,5,3.1,"46,860",3.6
98,THERMAL,11,4,21.8,"6,609",0.5
99,SUBSTANTIAL,11,4,5.4,"26,523",2
100,POPULAR,11,4,1.6,"91,455",7
101,MECHANICAL,11,3,9.6,"14,948",1.1
102,WOODY,11,1,98.4,"1,461",0.1
103,FULL,10,9,0.7,"200,408",15.3
104,PREVIOUS,10,8,1.6,"79,537",6.1
105,SEVERE,10,6,3.9,"33,095",2.5
106,PRESENT,10,6,2,"65,369",5
107,OPEN,10,6,0.9,"153,403",11.7
108,CLEAR,10,6,0.8,"161,202",12.3
109,CHEMICAL,10,5,5.6,"23,478",1.8
110,NEAR,10,5,8.6,"15,165",1.2
111,TRADITIONAL,10,3,1.6,"80,473",6.2
112,GENETIC,10,3,4.7,"28,032",2.1
113,DOMINANT,10,1,6.8,"19,134",1.5
114,READY,9,9,0.8,"148,105",11.3
115,SPECIAL,9,9,0.7,"176,561",13.5
116,REAL,9,7,0.3,"348,255",26.6
117,FEDERAL,9,6,0.6,"185,052",14.2
118,BAD,9,6,0.4,"284,660",21.8
119,REGULAR,9,5,1.8,"64,315",4.9
120,HUGE,9,4,1.1,"109,920",8.4
121,EXPENSIVE,9,4,2.3,"50,758",3.9
122,SOUTHERN,9,4,1.8,"67,189",5.1
123,VAST,9,4,3,"38,824",3
124,INCREASING,9,4,3.8,"30,975",2.4
125,INEXPENSIVE,9,3,17,"6,910",0.5
126,LIKELY,9,3,0.8,"147,660",11.3
127,DEPENDENT,9,3,5.5,"21,312",1.6
128,FALSE,9,3,2.9,"40,948",3.1
129,DIM,9,2,17.8,"6,617",0.5
130,PERIPHERAL,9,2,25.4,"4,623",0.4
131,AUTONOMIC,9,2,235.3,500,0
132,CRITICAL,8,6,1.4,"77,033",5.9
133,CLOSE,8,6,1,"103,571",7.9
134,CONSTANT,8,6,3.2,"33,094",2.5
135,POLITICAL,8,6,0.4,"279,466",21.4
136,CHEAP,8,5,3.1,"33,590",2.6
137,ACTIVE,8,5,1.8,"58,820",4.5
138,CULTURAL,8,5,1.3,"78,044",6
139,DOMESTIC,8,5,2.2,"47,538",3.6
140,HOT,8,5,0.9,"118,273",9
141,RAPID,8,4,5.1,"20,509",1.6
142,EXISTING,8,4,2.6,"39,976",3.1
143,COMPLETE,8,4,1.6,"66,193",5.1
144,WHITE,8,4,0.4,"250,728",19.2
145,BIOLOGICAL,8,4,4,"26,437",2
146,POWERFUL,8,4,1.4,"76,774",5.9
147,OPPOSITE,8,4,3.2,"32,435",2.5
148,MILITARY,8,4,0.6,"163,623",12.5
149,NORTHERN,8,3,2.4,"43,817",3.4
150,SENSORY,8,3,20.1,"5,212",0.4
151,BLIND,8,3,3.6,"29,271",2.2
152,WEAK,8,3,2.9,"36,425",2.8
153,UNLIKELY,8,3,3.8,"27,364",2.1
154,FEASIBLE,8,3,18,"5,815",0.4
155,ECONOMIC,8,3,0.6,"172,174",13.2
156,EFFICIENT,8,3,4.3,"24,530",1.9
157,PRODUCTIVE,8,3,6,"17,316",1.3
158,GREEN,8,3,1.1,"94,003",7.2
159,PHILOSOPHICAL,8,2,8.5,"12,321",0.9
160,MEAN,8,2,2.6,"39,871",3.1
161,SELECTED,8,1,9.6,"10,936",0.8
162,POTENTIAL,7,6,1.2,"75,845",5.8
163,PAST,7,6,0.7,"128,868",9.9
164,CONSISTENT,7,6,2.4,"38,620",3
165,BEAUTIFUL,7,6,0.8,"120,698",9.2
166,RARE,7,5,2.2,"42,482",3.2
167,HARD,7,5,0.5,"198,423",15.2
168,INTERESTING,7,5,0.8,"116,820",8.9
