Index,word,word freq,texts,freq/texts,entire corp,expected
1,HEMP,327,2,"1,711.20","2,498",0.2
2,FIBER,173,4,117.9,"19,180",1.5
3,YEAR,160,29,3,"697,947",53.4
4,PRODUCTION,155,5,23.2,"87,348",6.7
5,KING,127,1,16.3,"101,577",7.8
6,AREA,123,20,7.6,"212,917",16.3
7,SYSTEM,123,18,4.8,"334,830",25.6
8,PEOPLE,117,22,0.9,"1,783,636",136.4
9,TIME,111,32,0.9,"1,670,106",127.8
10,KINGDOM,105,1,81,"16,946",1.3
11,BRAIN,88,11,13.5,"85,146",6.5
12,SEED,85,2,57.8,"19,212",1.5
13,INFORMATION,80,18,3.3,"314,253",24
14,FIELD,77,11,6.7,"149,234",11.4
15,EYE,73,8,9.9,"96,227",7.4
16,WAY,68,20,0.8,"1,099,614",84.1
17,COUNTRY,68,10,2.4,"377,484",28.9
18,CROP,67,3,63.8,"13,725",1
19,PAPER,66,14,6.8,"126,369",9.7
20,REGION,66,9,10.8,"80,123",6.1
21,STUDY,65,15,3.7,"231,412",17.7
22,MATERIAL,63,16,11.2,"73,719",5.6
23,WOMAN,61,13,2.5,"316,918",24.2
24,NUMBER,61,12,2.3,"341,227",26.1
25,CELL,61,10,11.5,"69,450",5.3
26,COST,61,8,8.4,"94,556",7.2
27,MOVIE,60,1,5.9,"133,159",10.2
28,RESEARCH,58,19,3,"254,632",19.5
29,PROBLEM,56,20,2.3,"313,986",24
30,YIELD,55,3,98.9,"7,270",0.6
31,STUDENT,54,16,4.8,"147,051",11.2
32,USE,54,12,3.4,"205,716",15.7
33,MAN,53,8,0.9,"742,149",56.8
34,PLANT,52,7,11.4,"59,380",4.5
35,NEURON,52,5,508.8,"1,336",0.1
36,STEM,51,3,49.3,"13,531",1
37,MERCURY,51,1,130.9,"5,092",0.4
38,DAY,49,19,0.9,"715,985",54.8
39,KM,49,2,123.1,"5,204",0.4
40,PROGRAM,48,17,2.6,"239,084",18.3
41,PERSON,48,13,2.1,"297,398",22.8
42,WATER,48,11,1.9,"322,917",24.7
43,LOCATION,47,8,12.8,"48,160",3.7
