Index,word,freq,# texts,freq/texts,entire corpus,expected
1,GUY,683,54,4.9,"231,517",138.1
2,TIME,369,54,1,"633,282",377.6
3,THING,345,54,1.6,"351,867",209.8
4,PEOPLE,310,53,1.4,"375,906",224.1
5,WAY,260,52,1,"448,658",267.5
6,LOT,183,52,2,"150,057",89.5
7,MAN,181,47,0.7,"460,331",274.5
8,DAY,159,50,1.1,"253,857",151.4
9,FRIEND,141,45,1.8,"128,541",76.6
10,CAR,138,38,1.6,"141,789",84.5
11,YEAR,132,43,2.6,"86,492",51.6
12,HOUSE,128,40,1.4,"157,991",94.2
13,NAME,127,41,1.2,"173,609",103.5
14,KIND,125,47,1.7,"126,335",75.3
15,IDEA,124,43,1.6,"133,211",79.4
16,PLACE,121,46,1.2,"175,215",104.5
17,RIGHT,119,45,2.3,"87,141",52
18,WOMAN,118,30,1.6,"125,032",74.6
19,STUFF,108,39,2,"92,865",55.4
20,PARTY,108,23,2.3,"78,159",46.6
21,MUSIC,102,32,4.9,"34,911",20.8
22,BAND,96,22,11,"14,589",8.7
23,MINUTE,95,44,1.9,"82,523",49.2
24,BACK,95,41,1.2,"136,882",81.6
25,MAYOR,93,14,12.1,"12,858",7.7
26,NIGHT,92,35,0.6,"246,216",146.8
27,DOG,92,20,3.4,"45,427",27.1
28,LIFE,89,42,0.6,"252,885",150.8
29,ROOM,88,34,1.1,"128,653",76.7
30,BOOK,87,28,2.9,"49,589",29.6
31,BIT,85,39,2.3,"61,362",36.6
32,KID,83,31,1.7,"83,104",49.6
33,SHOW,83,31,2.5,"54,770",32.7
34,JOB,81,35,0.9,"143,207",85.4
35,FACE,81,31,1.8,"76,827",45.8
36,FOOD,79,31,2.5,"53,718",32
37,HAND,78,37,1.8,"73,824",44
38,CITY,76,24,2.1,"62,047",37
39,CAUSE,75,37,1.1,"116,400",69.4
40,WORK,75,37,1,"124,958",74.5
41,BIRTHDAY,75,15,4.2,"30,139",18
42,WATER,74,29,1.7,"71,437",42.6
43,STORE,73,30,5.2,"23,603",14.1
44,EYE,72,37,3.2,"37,288",22.2
45,LINE,71,24,2,"59,849",35.7
46,SONG,71,21,4.1,"28,850",17.2
47,MILK,68,19,9.9,"11,465",6.8
48,MOVIE,67,22,3.9,"29,143",17.4
49,FAMILY,67,21,0.8,"136,620",81.5
50,PART,65,34,1.2,"93,711",55.9
51,TABLE,65,26,3.5,"31,297",18.7
52,GIRL,64,34,0.7,"147,918",88.2
53,PHONE,64,28,1.2,"90,991",54.3
54,MONEY,63,30,0.7,"159,001",94.8
55,PERSON,63,28,1.2,"85,155",50.8
56,BIKE,60,14,11,"9,167",5.5
57,HOUR,59,29,1.9,"51,659",30.8
58,HEAD,56,35,0.9,"105,496",62.9
59,QUESTION,55,29,1.5,"63,274",37.7
60,WORD,55,29,1.2,"75,170",44.8
61,COUPLE,53,34,1.2,"73,371",43.8
62,BUDDY,53,28,2.7,"33,249",19.8
63,SECOND,52,32,1.7,"51,742",30.9
64,WIFE,52,23,0.9,"97,964",58.4
65,PROBLEM,51,31,0.8,"105,830",63.1
66,STORY,51,25,1.2,"71,100",42.4
67,BABY,51,21,0.6,"134,956",80.5
68,PANCAKE,51,4,80.8,"1,058",0.6
69,GAME,50,20,1.1,"73,737",44
70,THANKS,49,27,0.5,"171,004",102
71,SIR,49,26,0.4,"209,282",124.8
72,SCHOOL,49,24,0.8,"100,296",59.8
73,PLAN,49,17,1.6,"50,100",29.9
74,HEART,49,16,1.1,"73,450",43.8
75,WEEK,48,26,1,"79,720",47.5
76,MORNING,48,23,0.7,"121,953",72.7
77,COFFEE,47,22,2.2,"36,585",21.8
78,MOM,47,21,0.6,"137,432",81.9
79,POINT,46,31,0.9,"83,235",49.6
80,HAIR,46,28,1.7,"45,214",27
81,LOOK,46,25,1.2,"63,624",37.9
82,DAD,45,16,0.4,"170,671",101.8
83,BAG,45,15,2.5,"29,805",17.8
84,DOLLAR,45,13,12.1,"6,248",3.7
85,PICTURE,44,27,2.2,"33,677",20.1
86,BATHROOM,44,23,4,"18,306",10.9
87,BOY,44,22,0.6,"118,984",70.9
88,DOOR,42,28,0.9,"79,169",47.2
89,LADY,42,28,1.2,"56,675",33.8
90,BODY,42,24,0.9,"77,673",46.3
91,RIDE,41,21,3.6,"18,968",11.3
92,WORLD,40,26,0.5,"144,765",86.3
93,BED,40,18,1.3,"50,458",30.1
94,SPACE,40,18,2,"33,975",20.3
95,VIDEO,40,13,3.3,"20,334",12.1
96,GLASS,39,25,3.6,"18,254",10.9
97,SIDE,39,23,0.9,"69,754",41.6
98,HOME,39,22,0.9,"70,988",42.3
99,NUMBER,39,19,0.9,"70,461",42
100,ANIMAL,39,17,4.1,"16,143",9.6
101,FUN,38,24,1.7,"37,431",22.3
102,BUSINESS,38,22,0.7,"92,867",55.4
103,ORDER,38,21,2.2,"29,480",17.6
104,SHIRT,38,18,4.5,"14,060",8.4
105,NOODLE,38,3,81.1,786,0.5
106,LOVE,37,26,0.6,"96,536",57.6
107,DEAL,37,25,1,"61,491",36.7
108,STAR,37,14,2.6,"24,011",14.3
109,HONEY,36,24,1,"62,229",37.1
110,OFFICE,36,19,0.8,"73,178",43.6
111,CAT,36,18,2.7,"22,230",13.3
112,WEIRDO,36,3,43.7,"1,381",0.8
113,SOUND,35,18,2.9,"20,100",12
114,DRINK,35,16,1.9,"30,682",18.3
115,HAT,35,14,4,"14,815",8.8
116,WINE,35,14,3,"19,262",11.5
117,HELL,34,25,0.4,"138,697",82.7
118,STREET,34,21,1.3,"43,826",26.1
119,BEER,34,14,2.9,"19,961",11.9
120,BIRD,34,10,3.9,"14,574",8.7
121,EMERGENCY,34,9,3.3,"17,435",10.4
122,DINNER,33,18,1,"57,282",34.2
123,MONTH,33,16,2,"27,326",16.3
124,GUITAR,33,15,12.1,"4,576",2.7
125,TOWN,32,19,0.9,"59,975",35.8
126,BALL,32,13,2.2,"24,825",14.8
127,FIRE,32,12,1,"53,722",32
128,OUTTA,32,5,5.6,"9,516",5.7
129,MOMENT,31,22,0.8,"62,648",37.4
130,ART,31,16,2.4,"21,224",12.7
131,JACKET,31,11,4.9,"10,524",6.3
132,CHILD,30,17,1,"48,939",29.2
133,RESTAURANT,30,16,3.1,"16,486",9.8
134,DREAM,30,16,1.9,"27,038",16.1
135,LIGHT,30,14,1.6,"32,067",19.1
136,RIVER,30,8,3.2,"15,572",9.3
137,MIND,29,17,0.7,"71,946",42.9
138,CARE,29,16,0.8,"58,453",34.9
139,BOSS,29,11,1.3,"38,412",22.9
140,GUN,29,11,0.8,"58,196",34.7
141,KING,29,6,1.1,"42,293",25.2
142,TOP,28,19,1.7,"26,968",16.1
143,SPOT,28,18,2.7,"17,170",10.2
144,WHILE,28,18,1.2,"39,344",23.5
145,CHEESE,28,13,3.5,"13,592",8.1
146,BREAKFAST,28,13,2.8,"16,786",10
147,POLICE,28,10,0.6,"78,377",46.7
148,BOX,27,21,1.4,"32,104",19.1
149,AREA,27,18,1.5,"29,670",17.7
150,VOICE,27,17,1.4,"31,270",18.6
151,COMPANY,27,15,1,"46,218",27.6
152,DATE,27,13,1,"47,386",28.3
153,ROCK,27,11,2.1,"21,899",13.1
154,REASON,26,21,0.7,"66,949",39.9
155,MEETING,26,18,1.4,"31,180",18.6
156,HELP,26,15,0.7,"66,377",39.6
157,FILM,26,14,2.9,"14,883",8.9
158,TEAM,26,12,0.6,"73,623",43.9
159,ANT,26,3,29.4,"1,483",0.9
160,FOOT,25,16,2.2,"18,792",11.2
161,BAR,25,15,1.3,"31,217",18.6
162,CUP,25,9,2.9,"14,422",8.6
163,CELERY,25,2,58.3,719,0.4
164,BUNCH,24,21,1.9,"21,223",12.7
165,SENSE,24,18,0.9,"44,554",26.6
166,END,24,17,0.6,"66,263",39.5
167,DUDE,24,14,0.9,"42,588",25.4
168,TEA,24,14,2,"20,272",12.1
169,SHOP,24,11,2.2,"18,636",11.1
170,RECORD,24,11,1.5,"26,708",15.9
171,BANANA,24,8,10.7,"3,748",2.2
172,TATTOO,24,6,6.3,"6,402",3.8
173,RAT,24,5,4.8,"8,366",5
174,SORT,23,20,1.3,"30,500",18.2
175,PIECE,23,16,1,"38,854",23.2
176,ICE,23,16,1.4,"27,909",16.6
177,FAN,23,15,3.3,"11,616",6.9
178,HISTORY,23,14,1.1,"34,476",20.6
179,CLASS,23,14,1.2,"31,261",18.6
180,CREAM,23,13,2.8,"13,961",8.3
181,KEY,23,13,1.8,"21,785",13
182,PLAYER,23,13,4,"9,688",5.8
183,TOUR,23,10,3.5,"10,920",6.5
184,FESTIVAL,23,8,11.4,"3,382",2
185,BURGER,23,5,7.5,"5,166",3.1
186,MESSAGE,22,16,1.1,"32,770",19.5
187,LUNCH,22,14,1.2,"30,181",18
188,HORSE,22,12,1.8,"20,557",12.3
189,CASE,22,11,0.4,"91,862",54.8
190,CAMERA,22,11,1.9,"19,848",11.8
191,CHICKEN,22,10,2.1,"17,388",10.4
192,EPISODE,22,9,4.4,"8,319",5
193,MOUTH,21,18,1.2,"28,240",16.8
194,FINGER,21,16,3.1,"11,492",6.9
195,ROAD,21,14,1,"34,923",20.8
196,NEIGHBORHOOD,21,13,3.3,"10,780",6.4
197,CHAIR,21,13,2.4,"14,518",8.7
198,NEWS,21,12,0.6,"61,959",36.9
199,STAGE,21,12,2.2,"15,923",9.5
200,COOKIE,21,11,7,"5,032",3
201,PARK,21,10,1.4,"25,063",14.9
202,RULE,21,7,3.3,"10,578",6.3
203,BRIDGE,21,7,2.5,"14,174",8.5
204,BASEBALL,21,4,5,"7,000",4.2
205,BEET,21,1,97,363,0.2
206,SEAT,20,14,1.5,"22,976",13.7
207,HUSBAND,20,14,0.5,"65,608",39.1
208,TEXT,20,13,2.9,"11,665",7
209,BOYFRIEND,20,12,1.2,"27,165",16.2
210,SHOT,20,10,0.9,"37,557",22.4
211,PARENT,20,9,5.7,"5,843",3.5
212,CHANGE,20,9,1.5,"22,934",13.7
213,MODEL,20,8,2.9,"11,667",7
214,WEDDING,20,7,1,"34,442",20.5
215,BRUNCH,20,2,24.9,"1,348",0.8
216,SITUATION,19,17,1.2,"27,345",16.3
217,FLOOR,19,15,1.1,"28,619",17.1
218,FRONT,19,15,2.1,"14,965",8.9
219,RELATIONSHIP,19,14,1,"30,350",18.1
220,CHOICE,19,13,0.8,"40,482",24.1
221,COMPUTER,19,13,1.2,"26,257",15.7
222,KITCHEN,19,11,1.4,"23,282",13.9
223,SIGN,19,10,1.4,"22,932",13.7
224,PROJECT,19,9,2.2,"14,166",8.4
225,WEEKEND,19,9,1.6,"20,014",11.9
226,STEW,19,5,18.5,"1,726",1
227,PULLOUT,19,1,461.8,69,0
228,TOOTH,18,15,7.3,"4,156",2.5
229,LUCK,18,15,0.7,"42,939",25.6
230,ARM,18,15,1.7,"18,126",10.8
231,AIR,18,14,0.7,"45,735",27.3
232,SUN,18,14,1.3,"23,032",13.7
233,SISTER,18,13,0.5,"55,767",33.3
234,SLEEP,18,12,1.7,"18,144",10.8
235,PROPERTY,18,12,2.4,"12,399",7.4
236,DOCTOR,18,11,0.4,"86,051",51.3
237,JUICE,18,10,3.3,"9,055",5.4
238,GARBAGE,18,10,4,"7,491",4.5
239,COP,18,9,1.2,"24,193",14.4
240,ACCOUNT,18,6,2.4,"12,804",7.6
241,TENT,18,6,6.8,"4,445",2.7
242,DRUG,18,5,1.5,"20,336",12.1
243,GEAR,18,3,4.5,"6,775",4
244,REST,17,17,0.5,"54,723",32.6
245,OPTION,17,15,3.6,"7,976",4.8
246,STATION,17,14,1.1,"26,333",15.7
247,SERVICE,17,12,1.1,"27,119",16.2
248,PLAY,17,12,1.6,"17,571",10.5
249,JOKE,17,12,1.4,"20,126",12
250,IDIOT,17,12,1.5,"18,560",11.1
251,WINDOW,17,12,1.2,"23,272",13.9
252,COLOR,17,12,2.5,"11,280",6.7
253,CLOTHES,17,12,1.2,"24,614",14.7
254,AUDIENCE,17,12,3.3,"8,595",5.1
255,CARD,17,12,1,"27,952",16.7
256,LIST,17,11,0.8,"34,132",20.4
257,NECK,17,10,1.6,"17,396",10.4
258,E-MAIL,17,10,5.3,"5,344",3.2
259,CUSTOMER,17,10,5.4,"5,269",3.1
260,TOILET,17,8,3.1,"9,159",5.5
261,POWER,17,8,0.4,"66,314",39.5
262,EGG,17,7,3.3,"8,746",5.2
263,BAT,17,7,5.2,"5,474",3.3
264,TRAIN,17,5,1.7,"16,739",10
265,SYSTEM,16,14,0.6,"41,601",24.8
266,CHANCE,16,13,0.3,"80,432",48
267,PAPER,16,13,1,"26,221",15.6
268,MENU,16,11,5.7,"4,699",2.8
269,ATTENTION,16,11,1,"27,197",16.2
270,TRIP,16,11,1.1,"24,569",14.7
271,SALAD,16,9,4.2,"6,419",3.8
272,MUSTACHE,16,8,14.5,"1,852",1.1
273,UNIT,16,4,1.9,"14,388",8.6
274,FEMINIST,16,2,86,312,0.2
275,PASTA,16,2,12.3,"2,179",1.3
276,ALBUM,15,12,6.4,"3,911",2.3
277,FACT,15,12,0.4,"57,182",34.1
278,GUEST,15,12,1.9,"12,944",7.7
279,TURN,15,11,1.5,"17,080",10.2
280,BROTHER,15,11,0.3,"81,004",48.3
281,DIFFERENCE,15,11,1.2,"21,063",12.6
282,PHOTO,15,11,1.8,"13,926",8.3
283,MEAL,15,9,2.8,"9,140",5.5
284,ARTICLE,15,9,4,"6,224",3.7
285,BOWL,15,8,3.9,"6,447",3.8
286,HOLE,15,8,1.3,"19,341",11.5
287,FISH,15,8,1.1,"22,666",13.5
288,MOTHER,15,8,0.2,"125,597",74.9
289,AIRPORT,15,7,2.6,"9,811",5.9
290,CENT,15,6,15.4,"1,636",1
291,LETTER,15,6,1.2,"20,532",12.2
292,OIL,15,6,1.8,"13,690",8.2
293,PUNK,15,6,7.7,"3,261",1.9
294,PARKING,15,5,2.6,"9,785",5.8
295,BEAVER,15,3,21.7,"1,161",0.7
296,PICKLE,15,2,16.7,"1,510",0.9
297,NEED,14,14,0.9,"27,091",16.2
298,COUNTRY,14,14,0.5,"43,653",26
299,SHOE,14,13,3.4,"6,987",4.2
300,CALL,14,13,0.4,"57,257",34.1
301,TICKET,14,12,2,"11,944",7.1
302,TALK,14,11,0.9,"27,432",16.4
303,PAGE,14,11,1.9,"12,066",7.2
304,WALL,14,10,1,"24,366",14.5
305,MESS,14,10,1.3,"17,513",10.4
306,SALE,14,10,2.8,"8,464",5
307,TOY,14,9,4.6,"5,093",3
308,TRACK,14,9,1.7,"13,488",8
309,GROUP,14,9,0.8,"27,677",16.5
310,COLLEGE,14,9,0.9,"25,086",15
311,CROWD,14,9,2.7,"8,793",5.2
312,COUCH,14,8,2.7,"8,649",5.2
313,DRIVE,14,8,1.8,"13,331",7.9
314,TREE,14,8,1.2,"19,560",11.7
315,SHOULDER,14,8,3.1,"7,669",4.6
316,PROTEST,14,8,12.4,"1,897",1.1
317,POSITION,14,7,1,"23,874",14.2
318,GOD,14,7,0.1,"268,226",159.9
319,TERM,14,7,3.7,"6,265",3.7
320,OPENING,14,6,4.2,"5,648",3.4
321,OWNER,14,6,2.5,"9,420",5.6
322,MAP,14,6,2.6,"9,207",5.5
323,COUNTER,14,6,6.8,"3,432",2
324,ALARM,14,6,2.8,"8,386",5
325,COMEDY,14,5,5.9,"3,952",2.4
326,CABLE,14,4,5.4,"4,383",2.6
327,TUB,14,3,6,"3,911",2.3
328,ARTIST,13,11,2.2,"10,127",6
329,LIVING,13,11,1.6,"13,891",8.3
330,GO,13,11,1.1,"20,738",12.4
331,STOP,13,11,1.8,"12,160",7.3
332,MACHINE,13,10,1,"22,732",13.6
333,MA'AM,13,9,0.6,"34,082",20.3
334,CONVERSATION,13,9,1.1,"19,473",11.6
335,CHARACTER,13,9,1.7,"12,700",7.6
336,TYPE,13,9,1.2,"18,945",11.3
337,WOOD,13,9,2.6,"8,260",4.9
338,CORNER,13,8,1.4,"15,901",9.5
339,FRUIT,13,7,2.9,"7,527",4.5
340,NATURE,13,7,1.4,"15,586",9.3
341,POST,13,7,2.3,"9,372",5.6
342,POOL,13,7,1.5,"14,179",8.5
343,BEDROOM,13,6,1.9,"11,463",6.8
344,ALLERGY,13,5,22.2,980,0.6
345,MANAGER,13,5,1.7,"12,991",7.7
346,VAN,13,5,1.2,"18,478",11
347,RENT,13,5,4,"5,486",3.3
348,RABBIT,13,4,4.4,"4,946",2.9
349,BERRY,13,4,15.7,"1,388",0.8
350,BASS,13,4,10.2,"2,131",1.3
351,BUN,13,4,18.7,"1,167",0.7
352,CANCER,13,4,1.7,"12,507",7.5
353,PATROL,13,3,4.8,"4,543",2.7
354,PAW,13,2,38.3,569,0.3
355,LEMONADE,13,1,12.7,"1,712",1
356,MARIONBERRIES,13,1,"1,453.40",15,0
357,MARIONBERRY,13,1,991,22,0
358,EXPERIENCE,12,12,1.1,"19,032",11.3
359,INFORMATION,12,11,0.5,"36,927",22
360,STATE,12,11,0.6,"31,352",18.7
361,BOARD,12,11,1.2,"17,230",10.3
362,SET,12,11,1.5,"13,825",8.2
363,VOLUME,12,10,8.4,"2,388",1.4
364,GENTLEMAN,12,10,2.3,"8,663",5.2
365,GAS,12,10,1.1,"18,802",11.2
366,STICK,12,9,2.8,"7,290",4.3
367,FUTURE,12,9,0.7,"30,303",18.1
368,BUS,12,9,1.1,"18,717",11.2
369,BOTTLE,12,9,1.3,"15,915",9.5
370,HOTEL,12,9,0.7,"27,191",16.2
371,SEX,12,9,0.4,"54,017",32.2
372,PLASTIC,12,8,2.9,"6,916",4.1
373,BOAT,12,8,0.9,"22,586",13.5
374,FATHER,12,8,0.1,"142,279",84.8
375,SON,12,6,0.2,"115,519",68.9
376,BOOKSTORE,12,6,26.1,771,0.5
377,MONSTER,12,5,1.4,"14,007",8.4
378,CRIME,12,5,0.6,"33,082",19.7
379,MOON,12,4,1.3,"15,192",9.1
380,PAINTING,12,4,2.5,"7,959",4.7
381,TEACHER,12,4,1.5,"13,739",8.2
382,SWEATER,12,4,5.6,"3,597",2.1
383,SOUP,12,4,2.6,"7,640",4.6
384,BITCH,12,4,0.6,"33,152",19.8
385,BACON,12,3,4,"4,984",3
386,NAIL,12,3,6.3,"3,171",1.9
387,REVIEW,12,3,6,"3,376",2
388,WHALE,12,3,6.6,"3,042",1.8
389,BROTH,12,1,37.5,536,0.3
390,RING,11,11,0.8,"22,715",13.5
391,THOUGHT,11,10,0.6,"28,502",17
392,VERSION,11,9,2.4,"7,557",4.5
393,GIRLFRIEND,11,9,0.7,"26,871",16
394,DIRECTION,11,9,1.9,"9,857",5.9
395,CONSTRUCTION,11,9,3.5,"5,197",3.1
396,PANT,11,9,52.6,351,0.2
397,BANK,11,8,0.8,"23,137",13.8
398,SUMMER,11,8,1,"18,153",10.8
399,STEP,11,8,1.1,"16,793",10
