index,word,freq,# texts,freq/texts,entire corpus,expected
1,OKAY,59,8,5.1,"124,526",11.7
2,GOOD,40,8,1,"722,261",67.7
3,SORRY,31,8,1,"391,288",36.7
4,BAD,30,7,2,"162,356",15.2
5,RIGHT,28,7,1,"246,051",23.1
6,WRONG,28,7,2,"142,533",13.4
7,CRAZY,26,6,4,"70,662",6.6
8,SURE,25,8,1,"269,379",25.3
9,WEIRD,25,7,6,"44,046",4.1
10,REAL,20,8,2,"130,961",12.3
11,LITTLE,19,7,1,"243,665",22.9
12,BIG,17,5,1,"183,182",17.2
13,FINE,16,8,1,"182,561",17.1
14,OTHER,16,8,1,"189,154",17.7
15,DEAD,13,6,1,"131,707",12.4
16,COOL,13,4,2,"60,111",5.6
17,SUPPOSED,12,7,2,"84,068",7.9
18,STUPID,12,6,2,"54,271",5.1
19,SERIOUS,11,7,3,"45,258",4.2
20,ALIVE,11,6,2,"50,871",4.8
21,SCARED,11,4,4,"30,361",2.8
22,CLOSE,10,6,3,"34,766",3.3
23,ALONE,10,5,2,"48,987",4.6
24,SAFE,9,7,2,"56,996",5.3
25,GREAT,9,6,0,"247,274",23.2
26,NEW,9,5,1,"198,412",18.6
27,DAMN,8,6,3,"25,873",2.4
28,JUST,8,4,1,"62,659",5.9
29,MISSING,8,4,6,"14,776",1.4
30,FUNNY,7,5,1,"55,223",5.2
31,WHOLE,7,4,1,"115,574",10.8
32,OLD,7,3,0,"167,474",15.7
33,SICK,7,3,2,"41,950",3.9
34,CAREFUL,7,3,3,"28,143",2.6
35,BEST,7,3,1,"118,430",11.1
36,SMART,6,4,3,"24,798",2.3
37,FUN,6,3,2,"40,387",3.8
38,AFRAID,6,3,1,"63,948",6
39,TRUE,6,3,1,"80,752",7.6
40,DIFFERENT,5,5,1,"77,358",7.3
41,COLD,5,4,2,"28,343",2.7
42,EASY,5,4,1,"63,049",5.9
43,DARK,5,3,3,"20,576",1.9
44,CLEAR,5,3,1,"39,747",3.7
45,LATE,5,3,1,"56,374",5.3
46,UPSET,4,4,4,"10,326",1
47,LIKE,4,4,1,"37,732",3.5
48,BETTER,4,4,1,"86,412",8.1
49,TERRIBLE,4,3,1,"31,235",2.9
50,ONLY,4,3,0,"124,421",11.7
