index,word,freq,# texts,freq/texts,entire corpus,expected
1,OTHER,161,84,1.4,"1,278,990",113.7
2,NEW,120,57,1.3,"1,000,511",89
3,FEDERAL,76,30,4.6,"185,052",16.5
4,PUBLIC,61,32,2.6,"265,182",23.6
5,BIG,45,31,1.1,"470,472",41.8
6,HIGH,43,30,1.3,"383,759",34.1
7,LOCAL,43,23,2.4,"200,659",17.8
8,SMALL,41,27,1.5,"316,629",28.2
9,POLITICAL,40,20,1.6,"279,466",24.8
10,GOOD,35,26,0.4,"1,112,083",98.9
11,LARGE,33,24,1.7,"218,195",19.4
12,YOUNG,33,23,1.4,"274,046",24.4
13,NATIONAL,32,21,1.1,"322,006",28.6
14,OPEN,30,13,2.2,"153,403",13.6
15,LATE,29,21,2.3,"140,264",12.5
16,WHITE,27,15,1.2,"250,728",22.3
17,EARLY,26,19,1.6,"178,455",15.9
18,RECENT,25,22,1.9,"151,676",13.5
19,MAJOR,25,19,1.6,"175,475",15.6
20,OLD,24,19,0.6,"424,920",37.8
21,GUILTY,24,14,5.9,"45,423",4
22,ECONOMIC,24,10,1.6,"172,174",15.3
23,AVAILABLE,23,18,1.7,"151,394",13.5
24,GREAT,23,18,0.5,"552,238",49.1
25,ONLY,22,18,0.8,"326,043",29
26,PAST,22,18,1.9,"128,868",11.5
27,LONG,22,17,0.8,"305,317",27.1
28,POSSIBLE,22,16,1.2,"213,869",19
29,LEGAL,22,13,2.3,"107,152",9.5
30,DIFFERENT,21,17,0.6,"413,646",36.8
31,LOW,21,16,1.8,"131,433",11.7
32,ABLE,20,18,0.8,"279,598",24.9
33,IMPORTANT,20,15,0.7,"331,714",29.5
34,BLACK,20,13,0.8,"292,540",26
35,INDUSTRIAL,20,7,6.4,"35,298",3.1
36,SERIOUS,19,14,1.7,"122,280",10.9
37,OUTDOOR,19,1,14.2,"15,003",1.3
38,SPECIAL,18,15,1.1,"176,561",15.7
39,STRONG,18,15,1.3,"150,167",13.4
40,SOCIAL,18,12,0.7,"290,422",25.8
41,ELECTRIC,18,1,6.4,"31,595",2.8
42,PRESIDENTIAL,17,9,3.1,"61,352",5.5
43,KEY,16,15,2.1,"84,246",7.5
44,HUGE,16,15,1.6,"109,920",9.8
45,TOP,16,14,1.9,"97,141",8.6
46,HARD,16,13,0.9,"198,423",17.6
47,HUMAN,16,12,0.8,"236,273",21
48,PRIVATE,16,11,1.3,"133,957",11.9
49,SURE,15,15,0.4,"382,903",34
50,BEST,15,15,0.5,"348,166",31
51,CLOSE,15,12,1.6,"103,571",9.2
52,CRIMINAL,15,12,3.6,"46,844",4.2
53,LIGHT,15,11,3.1,"53,930",4.8
54,DOWNTOWN,15,11,8.3,"20,264",1.8
55,CURRENT,15,10,1.1,"148,398",13.2
56,PRESCHOOL,15,2,27.8,"6,063",0.5
57,POTENTIAL,14,12,2.1,"75,845",6.7
58,DIFFICULT,13,13,1.1,"136,509",12.1
59,GENERAL,13,12,1,"146,305",13
60,PREVIOUS,13,12,1.8,"79,537",7.1
61,FREE,13,10,0.6,"240,760",21.4
62,PERSONAL,13,9,0.9,"164,326",14.6
63,URBAN,13,8,3.2,"45,647",4.1
64,NONPROFIT,13,7,10.2,"14,291",1.3
65,FIRST-DEGREE,13,5,76.7,"1,906",0.2
66,BAD,12,12,0.5,"284,660",25.3
67,FULL,12,11,0.7,"200,408",17.8
68,SENIOR,12,11,1.8,"76,119",6.8
69,INVOLVED,12,10,1.9,"72,492",6.4
70,HISTORIC,12,9,4.9,"27,802",2.5
71,TRIBAL,12,6,9.9,"13,656",1.2
72,WRONG,12,6,0.7,"206,966",18.4
73,CRUDE,12,4,13.2,"10,229",0.9
74,ONGOING,11,11,4.7,"26,358",2.3
75,POPULAR,11,10,1.4,"91,455",8.1
76,SIGNIFICANT,11,10,1,"123,049",10.9
77,CLEAR,11,9,0.8,"161,202",14.3
78,COMMON,11,8,1,"130,021",11.6
79,CRITICAL,11,8,1.6,"77,033",6.8
80,SAFE,11,8,1.3,"94,226",8.4
81,WIDE,11,8,1.9,"65,939",5.9
82,MILITARY,11,8,0.8,"163,623",14.5
83,LEGISLATIVE,11,6,6.3,"19,625",1.7
84,SIMILAR,10,10,0.9,"129,292",11.5
85,WILD,10,10,2,"55,998",5
86,SINGLE,10,9,0.8,"149,085",13.3
87,ANNUAL,10,9,1.9,"59,303",5.3
88,MEDICAL,10,9,0.8,"136,518",12.1
89,LIKELY,10,9,0.8,"147,660",13.1
90,DEADLY,10,8,6.4,"17,527",1.6
91,EASY,10,7,0.7,"151,257",13.4
92,FINANCIAL,10,7,0.9,"119,877",10.7
93,CHIEF,10,6,2.1,"52,482",4.7
94,CHARGING,10,3,42.1,"2,673",0.2
95,LITTLE,9,9,0.3,"404,038",35.9
96,GROWING,9,9,1.9,"52,668",4.7
97,MASS,9,9,2.8,"35,587",3.2
98,BETTER,9,9,0.4,"247,552",22
99,FAR,9,8,3.2,"31,885",2.8
100,REAL,9,8,0.3,"348,255",31
101,TRUE,9,8,0.4,"232,607",20.7
102,MAIN,9,8,1,"103,814",9.2
103,HEAVY,9,8,1.4,"69,911",6.2
104,ONLINE,9,7,1.7,"58,878",5.2
105,FOREIGN,9,7,0.9,"111,560",9.9
106,CIVIL,9,7,1.2,"82,568",7.3
107,DIRECT,9,7,1.7,"58,306",5.2
108,ARMED,9,5,3.9,"25,978",2.3
109,ENVIRONMENTAL,9,5,1.3,"80,344",7.1
110,TERRORIST,9,4,4.5,"22,704",2
111,FETAL-TISSUE,9,2,"5,061.20",20,0
112,WHOLE,8,8,0.4,"233,166",20.7
113,ADDITIONAL,8,8,1.2,"72,549",6.5
114,MODERN,8,7,1.1,"83,986",7.5
115,CENTRAL,8,7,0.9,"104,411",9.3
116,BLUE,8,7,0.9,"102,273",9.1
117,COMMERCIAL,8,7,1.3,"68,835",6.1
118,VARIOUS,8,7,0.9,"99,839",8.9
119,VAST,8,7,2.3,"38,824",3.5
120,VICE,8,7,2.6,"34,681",3.1
121,NEARBY,8,7,3.7,"24,517",2.2
122,SEXUAL,8,6,1.1,"84,243",7.5
123,EDUCATIONAL,8,6,1.8,"49,650",4.4
124,CONCERNED,8,6,1.2,"72,339",6.4
125,PRIMARY,8,6,1.5,"58,998",5.2
126,MASSIVE,8,6,1.9,"47,169",4.2
127,NORMAL,8,5,1.1,"82,095",7.3
128,HOT,8,5,0.8,"118,273",10.5
129,INDEPENDENT,8,5,1.4,"63,668",5.7
130,ETHNIC,8,2,2.7,"32,874",2.9
131,FROZEN,8,2,6.1,"14,713",1.3
132,POSITIVE,7,7,0.9,"92,281",8.2
133,DEAD,7,7,0.5,"167,148",14.9
134,SIMPLE,7,7,0.7,"120,721",10.7
135,TOUGH,7,7,1.1,"74,520",6.6
136,FUTURE,7,7,1,"77,704",6.9
137,MULTIPLE,7,7,1.3,"61,696",5.5
138,MENTAL,7,7,1.3,"59,722",5.3
139,IMPOSSIBLE,7,6,1.4,"57,931",5.2
140,INTENSE,7,6,2.7,"28,706",2.6
141,DANGEROUS,7,6,1.2,"64,085",5.7
142,SHORT,7,6,0.6,"129,398",11.5
143,POOR,7,6,0.6,"121,346",10.8
144,ANGRY,7,6,1.5,"51,859",4.6
145,CLOSING,7,5,8.9,"8,857",0.8
146,CREATIVE,7,5,1.8,"43,682",3.9
147,REGULAR,7,5,1.2,"64,315",5.7
148,REGIONAL,7,5,1.9,"41,660",3.7
149,RESPONSIBLE,7,5,1.2,"67,349",6
150,WORKING,7,5,2.9,"27,526",2.4
151,COMBINED,7,4,5.7,"13,913",1.2
152,CHEAP,7,4,2.3,"33,590",3
153,AFFECTED,7,4,17.4,"4,521",0.4
154,MARITIME,7,2,20,"3,942",0.4
155,UNABLE,6,6,1.9,"36,308",3.2
156,RIGHT,6,6,0.2,"374,445",33.3
157,SEPARATE,6,6,1.6,"41,181",3.7
158,REAL-ESTATE,6,6,35.6,"1,896",0.2
159,ENTIRE,6,6,0.6,"122,401",10.9
160,LONGTIME,6,6,4.7,"14,437",1.3
161,GLOBAL,6,6,0.7,"99,852",8.9
162,ILL,6,5,5.8,"11,736",1
163,LOW-INCOME,6,5,8.4,"8,053",0.7
164,ACTIVE,6,5,1.1,"58,820",5.2
165,FINE,6,5,0.4,"178,043",15.8
166,CLEAN,6,5,1.2,"56,103",5
167,SO-CALLED,6,5,2.3,"29,478",2.6
168,COOL,6,5,0.8,"83,479",7.4
169,PROPOSED,6,5,3,"22,869",2
170,VIOLENT,6,5,1.9,"36,178",3.2
171,TRADITIONAL,6,5,0.8,"80,473",7.2
172,TINY,6,5,1.2,"58,055",5.2
173,OUTSIDE,6,5,1.9,"35,771",3.2
174,CONSERVATIVE,6,4,1.4,"49,161",4.4
175,FAIR,6,4,0.9,"76,229",6.8
176,FALSE,6,4,1.6,"40,948",3.6
177,ARTIFICIAL,6,4,4.5,"15,144",1.3
178,PLANNED,6,4,6.7,"10,077",0.9
179,PEACEFUL,6,4,4,"16,965",1.5
180,ATTEMPTED,6,3,11.6,"5,817",0.5
181,MINIMUM,6,3,3.4,"19,731",1.8
182,NATURAL,6,3,0.5,"123,819",11
183,DARK,6,3,0.7,"92,201",8.2
184,SUBURBAN,6,2,4.6,"14,568",1.3
185,PROTECTED,6,2,9.4,"7,178",0.6
186,EXPERIENTIAL,6,1,36.6,"1,844",0.2
187,HAPPY,5,5,0.4,"158,328",14.1
188,JUNIOR,5,5,1.9,"28,890",2.6
189,NECESSARY,5,5,0.6,"95,613",8.5
190,ORIGINAL,5,5,0.6,"93,242",8.3
191,COMPLETE,5,5,0.8,"66,193",5.9
192,COMPLEX,5,5,1.1,"51,965",4.6
193,CONSTANT,5,5,1.7,"33,094",2.9
194,ASSISTANT,5,5,2.5,"22,745",2
195,FAMILIAR,5,5,1,"54,667",4.9
196,FRONT,5,5,0.9,"63,734",5.7
197,RETIRED,5,5,3.7,"15,209",1.4
198,TOTAL,5,5,0.6,"91,100",8.1
199,DOMESTIC,5,5,1.2,"47,538",4.2
200,SPECIFIC,5,5,0.6,"101,255",9
201,RAPID,5,5,2.7,"20,509",1.8
202,UNIQUE,5,5,1,"54,836",4.9
203,UNLIKELY,5,5,2.1,"27,364",2.4
204,RECREATIONAL,5,4,8.1,"6,960",0.6
205,STATEWIDE,5,4,9.2,"6,102",0.5
206,RICH,5,4,0.7,"78,074",6.9
207,DUE,5,4,1.5,"37,072",3.3
208,RUNNING,5,4,2.4,"23,079",2.1
209,ELECTED,5,4,5,"11,313",1
210,EXTENSIVE,5,4,2.4,"23,022",2
211,APPROPRIATE,5,4,1,"57,178",5.1
212,ALIVE,5,4,0.8,"69,388",6.2
213,IMPROVING,5,4,6.9,"8,195",0.7
214,LONG-TERM,5,4,1.3,"42,779",3.8
215,FUN,5,4,0.9,"65,863",5.9
