index,word,freq,# texts,freq/texts,entire corpus,expected
1,GUY,1010,85,3.1,"231,517",329.7
2,THING,901,85,1.8,"351,867",501
3,TIME,887,86,1,"633,282",901.8
4,SHIT,863,85,8.4,"71,987",102.5
5,FUCK,816,85,20.9,"27,461",39.1
6,KID,676,85,5.7,"83,104",118.3
7,MAN,658,85,1,"460,331",655.5
8,WAY,538,85,0.8,"448,658",638.9
9,YEAR,534,83,4.3,"86,492",123.2
10,FRIEND,506,84,2.8,"128,541",183
11,DAY,475,84,1.3,"253,857",361.5
12,HOUSE,461,83,2,"157,991",225
13,PEOPLE,446,85,0.8,"375,906",535.3
14,MOTHER,446,81,2.5,"125,597",178.8
15,NIGHT,389,82,1.1,"246,216",350.6
16,MONEY,386,82,1.7,"159,001",226.4
17,FATHER,364,79,1.8,"142,279",202.6
18,LIFE,353,85,1,"252,885",360.1
19,CAR,353,82,1.7,"141,789",201.9
20,FAMILY,340,81,1.7,"136,620",194.5
21,PROBLEM,310,83,2.1,"105,830",150.7
22,BUSINESS,310,78,2.3,"92,867",132.2
23,TONY,298,28,9.9,"21,137",30.1
24,PLACE,278,80,1.1,"175,215",249.5
25,WEEK,268,78,2.4,"79,720",113.5
26,SCHOOL,257,69,1.8,"100,296",142.8
27,ASS,252,78,4.3,"41,475",59.1
28,SON,251,70,1.5,"115,519",164.5
29,GIRL,240,71,1.1,"147,918",210.6
30,WIFE,225,74,1.6,"97,964",139.5
31,UNCLE,224,60,5.4,"29,004",41.3
32,MINUTE,222,78,1.9,"82,523",117.5
33,BABY,222,67,1.2,"134,956",192.2
34,DAD,219,65,0.9,"170,671",243
35,LOT,215,74,1,"150,057",213.7
36,HEAD,205,76,1.4,"105,496",150.2
37,JOB,205,72,1,"143,207",203.9
38,BOY,204,73,1.2,"118,984",169.4
39,BACK,197,72,1,"136,882",194.9
40,MORNING,197,70,1.1,"121,953",173.7
41,NAME,196,70,0.8,"173,609",247.2
42,HAND,184,77,1.8,"73,824",105.1
43,COUSIN,183,60,9.3,"13,879",19.8
44,WOMAN,182,64,1,"125,032",178
45,KIND,179,68,1,"126,335",179.9
46,PHONE,176,74,1.4,"90,991",129.6
47,BROTHER,174,67,1.5,"81,004",115.3
48,CARE,171,72,2.1,"58,453",83.2
49,ROOM,166,67,0.9,"128,653",183.2
50,HOME,161,70,1.6,"70,988",101.1
51,CAUSE,159,58,1,"116,400",165.8
52,POINT,156,68,1.3,"83,235",118.5
53,BOSS,155,57,2.8,"38,412",54.7
54,HOUR,154,70,2.1,"51,659",73.6
55,LT,154,22,8.2,"13,131",18.7
56,IDEA,151,70,0.8,"133,211",189.7
57,BALL,151,61,4.3,"24,825",35.4
58,DOCTOR,149,64,1.2,"86,051",122.5
59,EYE,149,63,2.8,"37,288",53.1
60,WORK,148,65,0.8,"124,958",177.9
61,GOD,146,32,0.4,"268,226",381.9
62,DINNER,145,63,1.8,"57,282",81.6
63,GAME,144,44,1.4,"73,737",105
64,WORLD,143,69,0.7,"144,765",206.1
65,DAUGHTER,142,57,1.6,"60,898",86.7
66,MATTER,141,64,2.4,"41,394",58.9
67,CHILD,134,62,1.9,"48,939",69.7
68,PIECE,133,57,2.4,"38,854",55.3
69,CALL,132,65,1.6,"57,257",81.5
70,DOOR,129,60,1.1,"79,169",112.7
71,WORD,129,60,1.2,"75,170",107
72,COUPLE,125,59,1.2,"73,371",104.5
73,HELL,124,60,0.6,"138,697",197.5
74,STUFF,123,59,0.9,"92,865",132.2
75,SISTER,123,49,1.5,"55,767",79.4
76,FACE,122,65,1.1,"76,827",109.4
77,RIGHT,122,59,1,"87,141",124.1
78,MONTH,119,56,3.1,"27,326",38.9
79,LINE,118,63,1.4,"59,849",85.2
80,HUSBAND,117,51,1.3,"65,608",93.4
81,LOOK,115,59,1.3,"63,624",90.6
82,HOSPITAL,114,49,1.8,"43,676",62.2
83,PART,111,59,0.8,"93,711",133.4
84,PARTY,111,49,1,"78,159",111.3
85,BED,109,54,1.5,"50,458",71.9
86,CARD,107,48,2.7,"27,952",39.8
87,COFFEE,105,54,2,"36,585",52.1
88,MOVIE,105,44,2.5,"29,143",41.5
89,MIND,104,55,1,"71,946",102.4
90,ASSHOLE,103,56,9,"8,074",11.5
91,QUESTION,103,53,1.1,"63,274",90.1
92,NUMBER,102,57,1,"70,461",100.3
93,HEART,101,58,1,"73,450",104.6
94,FOOD,101,54,1.3,"53,718",76.5
95,COLLEGE,100,46,2.8,"25,086",35.7
96,MA,100,30,5.2,"13,580",19.3
97,SOPRANO,100,28,137.4,511,0.7
98,BULLSHIT,99,59,6.7,"10,376",14.8
99,OFFICE,98,55,0.9,"73,178",104.2
100,PRICK,98,55,28,"2,457",3.5
101,CLUB,98,43,2.1,"32,325",46
102,STREET,94,53,1.5,"43,826",62.4
103,FEELING,94,48,3.1,"21,049",30
104,MOM,92,50,0.5,"137,432",195.7
105,PERSON,91,55,0.8,"85,155",121.3
106,MOUTH,90,49,2.2,"28,240",40.2
107,NEPHEW,90,45,14.2,"4,464",6.4
108,BITCH,90,44,1.9,"33,152",47.2
109,END,87,50,0.9,"66,263",94.4
110,REASON,86,51,0.9,"66,949",95.3
111,LOVE,86,47,0.6,"96,536",137.5
112,JOKE,83,50,2.9,"20,126",28.7
113,GUN,83,37,1,"58,196",82.9
114,SHOE,82,46,8.2,"6,987",9.9
115,CASE,81,46,0.6,"91,862",130.8
116,STORY,81,46,0.8,"71,100",101.2
117,PARENT,80,46,9.6,"5,843",8.3
118,BOOK,80,43,1.1,"49,589",70.6
119,NEWS,79,49,0.9,"61,959",88.2
120,PAPER,79,46,2.1,"26,221",37.3
121,DOG,79,36,1.2,"45,427",64.7
122,FAULT,78,48,1.5,"36,732",52.3
123,DEAL,78,45,0.9,"61,491",87.6
124,HORSE,78,22,2.7,"20,557",29.3
125,SECOND,77,49,1,"51,742",73.7
126,TABLE,75,48,1.7,"31,297",44.6
127,RESPECT,75,44,3.4,"15,504",22.1
128,FOOT,75,41,2.8,"18,792",26.8
129,HONEY,75,40,0.8,"62,229",88.6
130,BIRTHDAY,75,25,1.7,"30,139",42.9
131,CHRIST,75,23,3.7,"14,297",20.4
132,ANTHONY,75,21,9.6,"5,469",7.8
133,JACKIE,75,16,5.6,"9,456",13.5
134,LADY,74,42,0.9,"56,675",80.7
135,THERAPY,74,38,6.4,"8,173",11.6
136,OUTTA,74,36,5.5,"9,516",13.6
137,HELP,72,48,0.8,"66,377",94.5
138,DRINK,72,45,1.6,"30,682",43.7
139,PICTURE,72,44,1.5,"33,677",48
140,CITY,72,44,0.8,"62,047",88.4
141,COP,72,41,2.1,"24,193",34.5
142,MOTHERFUCKER,71,47,15.5,"3,216",4.6
143,CHANCE,70,46,0.6,"80,432",114.5
144,DRUG,70,37,2.4,"20,336",29
145,RESTAURANT,70,31,3,"16,486",23.5
146,TON,70,29,12.1,"4,062",5.8
147,THANKS,69,45,0.3,"171,004",243.5
148,MILLION,69,38,1.2,"39,757",56.6
149,MEETING,68,43,1.5,"31,180",44.4
150,SEAT,68,39,2.1,"22,976",32.7
151,THOUGHT,67,46,1.7,"28,502",40.6
152,BODY,67,44,0.6,"77,673",110.6
153,WHILE,67,40,1.2,"39,344",56
154,PATIENT,67,33,2.4,"19,382",27.6
155,HAIR,66,40,1,"45,214",64.4
156,CLASS,66,39,1.5,"31,261",44.5
157,COMPANY,66,38,1,"46,218",65.8
158,DEATH,66,37,0.6,"75,888",108.1
159,SAKE,65,38,2.7,"16,763",23.9
160,LUNCH,65,38,1.5,"30,181",43
161,BOX,65,37,1.4,"32,104",45.7
162,SIDE,64,46,0.6,"69,754",99.3
163,SHOT,64,44,1.2,"37,557",53.5
164,SITUATION,63,34,1.6,"27,345",38.9
165,SIR,63,33,0.2,"209,282",298
166,TRUCK,63,31,1.9,"23,284",33.2
167,NEIGHBORHOOD,63,28,4.1,"10,780",15.4
168,CANCER,63,27,3.5,"12,507",17.8
169,MEADOW,63,23,48.2,917,1.3
170,REST,62,45,0.8,"54,723",77.9
171,WINE,62,38,2.3,"19,262",27.4
172,PUSSY,62,19,11.8,"3,684",5.2
173,DREAM,61,29,1.6,"27,038",38.5
174,FAVOR,60,39,2.2,"18,843",26.8
175,TALK,59,45,1.5,"27,432",39.1
176,TROUBLE,59,43,0.7,"57,366",81.7
177,STORE,59,35,1.8,"23,603",33.6
178,WATER,59,33,0.6,"71,437",101.7
179,ATTACK,59,30,1.8,"22,426",31.9
180,LEG,58,34,2.5,"16,252",23.1
181,FACT,57,39,0.7,"57,182",81.4
182,TRUTH,57,38,0.6,"66,483",94.7
183,LAWYER,57,36,1.5,"26,692",38
184,COCKSUCKER,57,35,63.6,629,0.9
185,FIRE,57,33,0.7,"53,722",76.5
186,TICKET,57,29,3.4,"11,944",17
187,LAW,56,36,1.2,"32,880",46.8
188,ORDER,55,40,1.3,"29,480",42
189,BLOOD,55,39,0.5,"71,288",101.5
190,BAG,55,37,1.3,"29,805",42.4
191,BILL,54,40,1.4,"27,292",38.9
192,SERVICE,52,36,1.3,"27,119",38.6
193,TRIP,52,27,1.5,"24,569",35
194,MESSAGE,51,39,1.1,"32,770",46.7
195,AGE,51,34,1.3,"26,930",38.3
196,WEDDING,51,25,1,"34,442",49
197,SIGN,51,24,1.6,"22,932",32.7
198,MACHINE,49,33,1.5,"22,732",32.4
199,CHOICE,49,33,0.9,"40,482",57.6
200,CHARGE,49,29,1.9,"18,434",26.2
201,NOTHIN,49,24,5.8,"5,890",8.4
202,STATE,48,34,1.1,"31,352",44.6
203,CONTROL,48,33,0.9,"37,663",53.6
204,POOL,48,30,2.4,"14,179",20.2
205,TRIAL,48,24,1.8,"18,954",27
206,CHRISTMAS,48,10,1.2,"28,945",41.2
207,SLEEP,47,33,1.8,"18,144",25.8
208,NEED,47,31,1.2,"27,091",38.6
209,CREW,47,28,1.8,"18,189",25.9
210,PROGRAM,47,28,2.3,"14,333",20.4
211,MOON,47,13,2.2,"15,192",21.6
212,DICK,46,36,2.3,"13,886",19.8
213,DIFFERENCE,46,34,1.5,"21,063",30
214,BOAT,46,32,1.4,"22,586",32.2
215,CAPTAIN,46,30,0.6,"57,631",82.1
216,SUIT,46,28,2.1,"15,491",22.1
217,HAT,46,25,2.2,"14,815",21.1
218,COUNTRY,45,36,0.7,"43,653",62.2
219,GIFT,45,33,1.4,"22,089",31.5
220,RECORD,45,25,1.2,"26,708",38
221,GARBAGE,45,23,4.2,"7,491",10.7
222,CONVERSATION,44,34,1.6,"19,473",27.7
223,ROAD,44,33,0.9,"34,923",49.7
224,PLATE,44,31,2.8,"11,012",15.7
225,GOVERNMENT,44,30,1.3,"24,018",34.2
226,WEIGHT,44,27,2.4,"13,078",18.6
227,TEST,44,24,1.1,"26,881",38.3
228,JERSEY,44,19,6.3,"4,937",7
229,BIT,43,35,0.5,"61,362",87.4
230,BAR,43,33,1,"31,217",44.5
231,PAIN,43,33,1,"31,766",45.2
232,GLASS,43,32,1.7,"18,254",26
233,RULE,43,31,2.9,"10,578",15.1
234,GO,43,30,1.5,"20,738",29.5
235,CHANGE,43,30,1.3,"22,934",32.7
236,GIRLFRIEND,43,30,1.1,"26,871",38.3
