Index,word,word freq,texts,freq/texts,entire corp,expected
1,THING,120,7,2.1,"201,549",57.9
2,TIME,116,7,1.1,"382,384",109.8
3,PEOPLE,110,7,1.6,"244,275",70.1
4,WAY,82,7,1,"275,793",79.2
5,GUY,64,7,1.9,"117,367",33.7
6,FRIEND,61,7,2.6,"81,016",23.3
7,DAY,58,7,1.2,"164,992",47.4
8,LIFE,58,7,1.2,"165,508",47.5
9,LOVE,55,7,2.2,"87,555",25.1
10,YEAR,53,7,3.2,"56,886",16.3
11,BOOK,53,2,5.6,"33,230",9.5
12,FAMILY,50,7,2.6,"68,085",19.6
13,WORLD,48,7,1.5,"112,037",32.2
14,PLACE,46,7,1.4,"114,320",32.8
15,VAMPIRE,43,6,47.9,"3,128",0.9
16,HOUSE,42,6,1.4,"103,825",29.8
17,GIRL,41,6,1.3,"113,690",32.6
18,MIND,36,7,2.6,"48,829",14
19,TOWN,36,5,2.6,"48,368",13.9
20,MAN,34,6,0.3,"392,844",112.8
21,CHILD,32,6,3.2,"34,910",10
22,GOD,32,1,0.6,"193,447",55.6
23,FAN,31,1,19.3,"5,605",1.6
24,LOT,29,6,1.1,"90,075",25.9
25,KIND,29,6,1.3,"77,965",22.4
26,STAFF,29,2,16.9,"5,958",1.7
27,BLOOD,28,7,2.9,"34,041",9.8
28,DAUGHTER,28,6,3,"32,182",9.2
29,BABY,28,5,1,"98,198",28.2
30,NIGHT,27,7,0.6,"165,387",47.5
31,STORY,27,6,2,"45,986",13.2
32,DAD,27,5,1,"91,246",26.2
33,MOVIE,27,2,4,"23,631",6.8
34,EYE,26,6,4,"22,760",6.5
35,HEART,26,5,1.8,"50,814",14.6
36,NAME,26,5,0.8,"118,185",33.9
37,DRAGON,26,1,22.1,"4,092",1.2
38,HUMAN,25,6,26.9,"3,238",0.9
39,PART,25,6,1.7,"50,302",14.4
40,POWER,25,6,2.8,"30,958",8.9
41,ARMY,25,3,4.7,"18,499",5.3
42,HAND,24,7,1.6,"52,489",15.1
43,CAUSE,24,5,1.5,"56,833",16.3
44,CHOICE,23,6,4.5,"17,912",5.1
45,WOLF,23,5,16.7,"4,799",1.4
46,WOMAN,22,7,0.9,"81,488",23.4
47,THOUGHT,22,6,5.1,"14,980",4.3
48,MOTHER,21,7,0.8,"90,272",25.9
49,FIGHT,21,6,4.5,"16,168",4.6
50,FATHER,21,5,0.7,"104,600",30
51,KID,21,5,1.3,"57,259",16.4
52,HELL,21,5,0.8,"90,781",26.1
53,BROTHER,20,7,1.3,"55,442",15.9
54,ELF,20,1,71.5,974,0.3
55,MOM,19,6,0.9,"73,742",21.2
56,MONTH,19,4,3.9,"17,181",4.9
57,REST,18,7,1.7,"35,856",10.3
58,BACK,18,7,0.8,"82,014",23.6
59,HEAD,18,6,1,"65,851",18.9
60,STUFF,18,4,1.2,"54,070",15.5
61,SCHOOL,18,4,1,"61,122",17.6
62,REASON,17,6,1.8,"32,761",9.4
63,PROBLEM,17,5,1.1,"52,860",15.2
64,DEMON,17,3,20.6,"2,878",0.8
65,TOUR,17,2,7.9,"7,515",2.2
66,MINUTE,16,6,0.8,"65,560",18.8
67,IDEA,16,6,0.8,"68,461",19.7
68,BOY,16,6,0.5,"107,032",30.7
69,HELP,16,5,1.6,"34,093",9.8
70,ROOM,16,4,0.7,"77,730",22.3
71,CARE,15,7,1.2,"43,920",12.6
72,SON,15,6,0.7,"79,188",22.7
73,CHANCE,15,5,1.2,"45,313",13
74,PICTURE,15,2,2.2,"23,743",6.8
75,HUSBAND,14,6,1.4,"34,559",9.9
76,TRIBE,14,6,25.9,"1,883",0.5
77,WEEK,14,5,1.1,"43,959",12.6
78,WHILE,14,5,1.8,"26,375",7.6
79,PACK,14,5,12.9,"3,792",1.1
80,RAIN,14,4,5.2,"9,314",2.7
81,GIFT,14,4,4.6,"10,508",3
82,THOUSAND,14,3,3.4,"14,404",4.1
83,LAND,13,6,2.4,"18,996",5.5
84,PERSON,13,6,1.1,"40,807",11.7
85,GOBLIN,13,1,158.8,285,0.1
86,PLAN,12,6,2,"21,299",6.1
87,WOOD,12,6,7.7,"5,409",1.6
88,HOME,12,5,0.9,"45,475",13.1
89,PARTY,12,4,1,"43,636",12.5
90,SIGN,12,4,3.6,"11,551",3.3
91,FAITH,12,2,3.8,"11,136",3.2
92,WIFE,11,7,0.6,"62,611",18
93,VISION,11,6,8.1,"4,741",1.4
94,FACE,11,6,0.8,"47,588",13.7
95,DEATH,11,6,0.9,"43,735",12.6
96,ANIMAL,11,6,3.5,"10,934",3.1
97,SISTER,11,6,1.1,"34,871",10
98,SECOND,11,6,1.4,"28,364",8.1
99,CAR,11,5,0.4,"85,842",24.7
100,LINE,11,4,1.1,"35,389",10.2
101,BIRTHDAY,11,3,2.2,"17,599",5.1
102,BATTLE,11,3,4.2,"9,022",2.6
103,ARM,11,3,3.2,"12,086",3.5
104,CITY,11,3,1,"39,072",11.2
105,DREAM,11,3,1.9,"20,319",5.8
106,CHARACTER,11,2,4.3,"9,011",2.6
107,SITE,11,2,8.6,"4,437",1.3
108,SCENT,11,2,30,"1,278",0.4
109,SLAVE,11,1,9.6,"3,993",1.1
110,BODY,10,7,0.9,"37,312",10.7
111,ROAD,10,6,1.3,"26,322",7.6
112,MOMENT,10,6,0.8,"41,197",11.8
113,AGE,10,6,2,"17,329",5
114,PIECE,10,5,1.4,"24,884",7.1
115,ENEMY,10,5,3.5,"10,020",2.9
116,SOUL,10,4,2,"17,250",5
117,COUPLE,10,4,0.9,"40,176",11.5
118,DANGER,10,4,3.8,"9,078",2.6
119,DECISION,10,4,3.4,"10,208",2.9
120,LADY,10,4,0.8,"44,688",12.8
121,DOOR,10,3,0.6,"55,482",15.9
122,HOSPITAL,10,2,1.7,"20,724",6
123,PROM,10,2,12.5,"2,782",0.8
124,WITNESS,10,1,5.4,"6,425",1.8
125,SIDE,9,6,0.8,"40,926",11.8
126,WORD,9,5,0.7,"46,236",13.3
127,TREATY,9,5,33.5,935,0.3
128,OTHERS,9,5,1.5,"21,395",6.1
129,MORNING,9,4,0.4,"88,709",25.5
130,SENSE,9,4,1.3,"24,869",7.1
131,TRUTH,9,4,0.9,"35,007",10.1
132,END,9,4,0.7,"41,822",12
133,FOOT,9,3,2.5,"12,632",3.6
134,POINT,9,3,0.7,"41,871",12
135,MAGIC,9,2,4.8,"6,587",1.9
136,GAME,9,2,0.7,"44,650",12.8
137,SPELL,9,1,10.9,"2,874",0.8
138,FALL,8,5,5.3,"5,264",1.5
139,HOUR,8,4,0.9,"29,412",8.4
140,FUTURE,8,4,1.7,"16,786",4.8
141,GRADUATION,8,4,20.4,"1,365",0.4
142,TRIP,8,4,1.8,"15,913",4.6
143,WORK,8,4,0.4,"67,685",19.4
144,WEREWOLF,8,4,27.8,"1,001",0.3
145,TICKET,8,4,3.5,"8,056",2.3
146,VILLAGE,8,3,3.2,"8,812",2.5
147,KISS,8,3,3.5,"7,854",2.3
148,FUN,8,3,1.2,"22,838",6.6
149,PHONE,8,3,0.6,"43,270",12.4
150,DATE,8,3,1.7,"16,512",4.7
151,HEALING,8,2,39.2,710,0.2
152,WEDDING,8,2,1.8,"15,835",4.5
153,CLERIC,8,1,216,129,0
154,TRACKER,8,1,65.1,428,0.1
155,TERRITORY,7,5,7.6,"3,198",0.9
156,AREA,7,5,1.7,"14,305",4.1
157,DOG,7,5,0.7,"37,452",10.8
158,PAIN,7,5,1.4,"16,871",4.8
159,PRESENT,7,5,2.8,"8,554",2.5
160,MONSTER,7,4,2.9,"8,332",2.4
161,SACRIFICE,7,4,10.2,"2,398",0.7
162,HAIR,7,4,0.9,"27,073",7.8
163,KILLER,7,4,2.3,"10,812",3.1
164,LAW,7,4,1.1,"21,472",6.2
165,DINNER,7,4,0.8,"31,129",8.9
166,FAULT,7,4,1.2,"19,621",5.6
167,TRUCK,7,4,1.7,"14,479",4.2
168,CONTROL,7,4,1.4,"17,843",5.1
169,PARENT,7,4,11.1,"2,194",0.6
170,THIRST,7,4,34.6,704,0.2
171,BUS,7,3,1.9,"12,705",3.6
172,WILL,7,3,1.2,"20,992",6
173,DARLING,7,3,0.8,"31,466",9
174,DRESS,7,3,2.2,"11,225",3.2
175,HUNDRED,7,3,1.5,"15,766",4.5
176,HERO,7,3,2.4,"10,055",2.9
177,LUCK,7,3,0.9,"28,378",8.1
178,MONEY,7,3,0.2,"129,416",37.2
179,NUMBER,7,3,0.5,"44,898",12.9
180,SLEEP,7,2,1.6,"15,423",4.4
181,RESTAURANT,7,2,3.5,"6,958",2
182,PORCH,7,2,13.9,"1,749",0.5
183,EVIL,7,2,3.9,"6,243",1.8
184,GIRLFRIEND,7,2,1.9,"12,866",3.7
185,LORD,7,1,0.6,"37,618",10.8
186,FANDOM,7,1,333.9,73,0
187,QUEST,7,1,15.4,"1,582",0.5
188,STEP,6,5,2.1,"9,873",2.8
189,WATER,6,4,0.4,"48,066",13.8
190,FIRE,6,4,0.6,"32,765",9.4
191,ANSWER,6,4,1.4,"14,528",4.2
192,VOICE,6,4,1.1,"19,497",5.6
193,HONEY,6,4,0.4,"48,835",14
194,BED,6,4,0.6,"37,794",10.9
195,RIGHT,6,4,0.4,"57,187",16.4
196,MISTAKE,6,4,1.3,"16,528",4.7
197,MESSAGE,6,4,1.2,"17,361",5
198,HOPE,6,3,1.9,"11,150",3.2
199,QUESTION,6,3,0.6,"34,272",9.8
200,PAGE,6,3,3.1,"6,682",1.9
201,ORDER,6,3,1.2,"17,936",5.2
202,RUSH,6,3,6.5,"3,217",0.9
203,BREATH,6,3,2.4,"8,536",2.5
204,CHIEF,6,3,1.9,"10,909",3.1
205,CELL,6,3,2.3,"9,259",2.7
206,COURSE,6,3,1.9,"10,917",3.1
207,COVEN,6,3,91.6,228,0.1
208,CONNECTION,6,3,4.6,"4,503",1.3
209,HUNTING,6,3,5.5,"3,816",1.1
210,TYPE,6,3,1.9,"11,250",3.2
211,BIT,6,3,0.6,"33,437",9.6
212,BEACH,6,3,2,"10,625",3.1
