index,word,freq,# texts,freq/text,entire corpus,expected
1,TIME,363,44,1.2,"633,282",298.7
2,MAN,283,40,1.3,"460,331",217.1
3,THING,266,44,1.6,"351,867",165.9
4,NIGHT,239,44,2.1,"246,216",116.1
5,WAY,216,41,1,"448,658",211.6
6,DAY,215,44,1.8,"253,857",119.7
7,LIFE,169,41,1.4,"252,885",119.3
8,CAR,155,35,2.3,"141,789",66.9
9,PEOPLE,119,36,0.7,"375,906",177.3
10,ROOM,115,37,1.9,"128,653",60.7
11,PLACE,112,39,1.4,"175,215",82.6
12,NAME,109,35,1.3,"173,609",81.9
13,YEAR,106,38,2.6,"86,492",40.8
14,GIRL,98,35,1.4,"147,918",69.8
15,FRIEND,96,38,1.6,"128,541",60.6
16,SIR,93,27,0.9,"209,282",98.7
17,DREAM,91,30,7.1,"27,038",12.8
18,MONEY,89,32,1.2,"159,001",75
19,GUY,81,33,0.7,"231,517",109.2
20,BROTHER,81,32,2.1,"81,004",38.2
21,COFFEE,81,32,4.7,"36,585",17.3
22,KIND,80,37,1.3,"126,335",59.6
23,HOUSE,79,32,1.1,"157,991",74.5
24,MORNING,78,35,1.4,"121,953",57.5
25,HAND,78,27,2.2,"73,824",34.8
26,BUSINESS,77,32,1.8,"92,867",43.8
27,LOVE,77,31,1.7,"96,536",45.5
28,WORLD,76,35,1.1,"144,765",68.3
29,WORK,73,30,1.2,"124,958",58.9
30,FATHER,71,30,1.1,"142,279",67.1
31,HEART,71,24,2,"73,450",34.6
32,HELL,70,28,1.1,"138,697",65.4
33,PROBLEM,67,30,1.3,"105,830",49.9
34,MINUTE,66,31,1.7,"82,523",38.9
35,WORD,64,32,1.8,"75,170",35.5
36,BACK,63,34,1,"136,882",64.6
37,BOY,63,31,1.1,"118,984",56.1
38,EYE,63,27,3.6,"37,288",17.6
39,CALL,61,30,2.3,"57,257",27
40,TOWN,60,27,2.1,"59,975",28.3
41,PHONE,59,30,1.4,"90,991",42.9
42,JOB,58,30,0.9,"143,207",67.5
43,WOMAN,57,26,1,"125,032",59
44,SHERIFF,57,26,8.3,"14,557",6.9
45,WOOD,56,24,14.4,"8,260",3.9
46,HOUR,55,30,2.3,"51,659",24.4
47,LOT,54,33,0.8,"150,057",70.8
48,SCHOOL,54,31,1.1,"100,296",47.3
49,FIRE,54,21,2.1,"53,722",25.3
50,PIE,54,16,11.2,"10,214",4.8
51,CARE,53,25,1.9,"58,453",27.6
52,GUN,53,24,1.9,"58,196",27.4
53,DOOR,52,24,1.4,"79,169",37.3
54,LIGHT,51,26,3.4,"32,067",15.1
55,RIGHT,50,29,1.2,"87,141",41.1
56,MILL,50,17,41.9,"2,528",1.2
57,QUESTION,49,31,1.6,"63,274",29.8
58,OFFICE,47,23,1.4,"73,178",34.5
59,BABY,47,23,0.7,"134,956",63.6
60,MOMENT,46,24,1.6,"62,648",29.5
61,MIND,45,30,1.3,"71,946",33.9
62,WEEK,45,28,1.2,"79,720",37.6
63,LOOK,45,26,1.5,"63,624",30
64,HELP,45,26,1.4,"66,377",31.3
65,PIECE,45,25,2.5,"38,854",18.3
66,HUSBAND,44,24,1.4,"65,608",30.9
67,NUMBER,43,23,1.3,"70,461",33.2
68,BODY,43,21,1.2,"77,673",36.6
69,TRUTH,43,21,1.4,"66,483",31.4
70,MUSIC,43,9,2.6,"34,911",16.5
71,COUPLE,42,25,1.2,"73,371",34.6
72,GAME,42,22,1.2,"73,737",34.8
73,DRUG,42,18,4.4,"20,336",9.6
74,IDEA,41,29,0.7,"133,211",62.8
75,MONTH,41,20,3.2,"27,326",12.9
76,FACE,40,27,1.1,"76,827",36.2
77,HEAD,40,24,0.8,"105,496",49.8
78,TROUBLE,40,24,1.5,"57,366",27.1
79,MURDER,40,23,1.5,"54,909",25.9
80,CASE,40,21,0.9,"91,862",43.3
81,HOME,39,21,1.2,"70,988",33.5
82,CHANCE,37,22,1,"80,432",37.9
83,FAMILY,37,19,0.6,"136,620",64.4
84,SECRET,37,18,4,"19,770",9.3
85,DEATH,36,18,1,"75,888",35.8
86,DAUGHTER,36,18,1.3,"60,898",28.7
87,SHIT,36,7,1.1,"71,987",33.9
88,WIFE,35,23,0.8,"97,964",46.2
89,STORY,35,21,1,"71,100",33.5
90,ROAD,35,21,2.1,"34,923",16.5
91,BOX,35,20,2.3,"32,104",15.1
92,LINE,34,22,1.2,"59,849",28.2
93,LETTER,34,18,3.5,"20,532",9.7
94,INFORMATION,34,17,2,"36,927",17.4
95,BLOOD,34,15,1,"71,288",33.6
96,DIARY,34,12,21.8,"3,303",1.6
97,CHILD,33,16,1.4,"48,939",23.1
98,PRISON,33,14,2.4,"29,531",13.9
99,WHILE,32,20,1.7,"39,344",18.6
100,GENTLEMAN,32,18,7.8,"8,663",4.1
101,KEY,32,16,3.1,"21,785",10.3
102,FUCK,32,11,2.5,"27,461",13
103,PART,31,22,0.7,"93,711",44.2
104,FOOT,31,18,3.5,"18,792",8.9
105,ARM,31,17,3.6,"18,126",8.5
106,HONEY,30,21,1,"62,229",29.3
107,STATION,30,21,2.4,"26,333",12.4
108,NEWS,30,20,1,"61,959",29.2
109,NATURE,30,19,4.1,"15,586",7.4
110,KID,30,19,0.8,"83,104",39.2
111,MESSAGE,30,18,1.9,"32,770",15.5
112,HOSPITAL,30,16,1.5,"43,676",20.6
113,PARENT,30,15,10.9,"5,843",2.8
114,BOSS,30,13,1.7,"38,412",18.1
115,LUCK,29,23,1.4,"42,939",20.3
116,FACT,29,21,1.1,"57,182",27
117,FEELING,29,19,2.9,"21,049",9.9
118,LADY,28,22,1,"56,675",26.7
119,AGENT,28,18,1.5,"40,023",18.9
120,TRUCK,28,18,2.5,"23,284",11
121,STUFF,28,17,0.6,"92,865",43.8
122,KILLER,28,17,1.8,"33,403",15.8
123,PERSON,28,17,0.7,"85,155",40.2
124,POLICE,28,15,0.8,"78,377",37
125,PICTURE,28,15,1.8,"33,677",15.9
126,WATER,28,13,0.8,"71,437",33.7
127,TALK,27,20,2.1,"27,432",12.9
128,REASON,27,20,0.9,"66,949",31.6
129,ANSWER,27,18,2,"27,931",13.2
130,REST,27,18,1,"54,723",25.8
131,SHOE,27,12,8.2,"6,987",3.3
132,SIDE,26,16,0.8,"69,754",32.9
133,TAPE,26,13,3.5,"15,940",7.5
134,BIRD,26,9,3.8,"14,574",6.9
135,DOG,25,20,1.2,"45,427",21.4
136,DEAL,25,18,0.9,"61,491",29
137,DAD,25,15,0.3,"170,671",80.5
138,MOVE,25,13,2.6,"20,404",9.6
139,MEETING,24,19,1.6,"31,180",14.7
140,THANKS,24,18,0.3,"171,004",80.6
141,INSURANCE,24,16,4.3,"11,717",5.5
142,LAW,24,15,1.5,"32,880",15.5
143,MOM,24,14,0.4,"137,432",64.8
144,PLEASURE,23,19,2.3,"20,773",9.8
145,BED,23,17,1,"50,458",23.8
146,CUP,23,16,3.4,"14,422",6.8
147,SISTER,23,16,0.9,"55,767",26.3
148,TREE,23,15,2.5,"19,560",9.2
149,DEPARTMENT,23,14,2.4,"20,309",9.6
150,SOUL,23,10,2.5,"19,405",9.2
151,BOOK,22,14,0.9,"49,589",23.4
152,DINNER,22,14,0.8,"57,282",27
153,POINT,22,13,0.6,"83,235",39.3
154,LOG,22,13,10.3,"4,539",2.1
155,STORE,22,13,2,"23,603",11.1
156,NOTE,22,11,3.4,"13,797",6.5
157,MA'AM,22,11,1.4,"34,082",16.1
158,STAR,22,7,1.9,"24,011",11.3
159,CRIME,21,15,1.3,"33,082",15.6
160,DOCTOR,21,13,0.5,"86,051",40.6
161,TEST,21,12,1.7,"26,881",12.7
162,MOTHER,21,12,0.4,"125,597",59.2
163,POWER,21,12,0.7,"66,314",31.3
164,CARD,21,11,1.6,"27,952",13.2
165,QUEEN,21,8,2,"22,049",10.4
166,GOD,21,7,0.2,"268,226",126.5
167,STATE,20,15,1.4,"31,352",14.8
168,END,20,14,0.6,"66,263",31.2
169,COUNTER,20,14,12.4,"3,432",1.6
170,DOLLAR,20,12,6.8,"6,248",2.9
171,BORDER,20,12,7.4,"5,709",2.7
172,FEAR,20,11,3.1,"13,785",6.5
173,FILE,20,9,2.8,"15,093",7.1
174,HORSE,20,9,2.1,"20,557",9.7
175,NECKLACE,20,7,9.5,"4,477",2.1
176,SWEETHEART,19,14,2.4,"17,051",8
177,SHOT,19,13,1.1,"37,557",17.7
178,PLAN,19,13,0.8,"50,100",23.6
179,TRIP,19,12,1.6,"24,569",11.6
180,COUNTRY,19,10,0.9,"43,653",20.6
181,COCAINE,19,10,10.1,"3,990",1.9
182,PRINT,19,9,8.8,"4,565",2.2
183,DARK,19,9,3.8,"10,693",5
184,DINER,18,15,11.7,"3,275",1.5
185,MISTAKE,18,15,1.2,"32,729",15.4
186,FLOOR,18,15,1.3,"28,619",13.5
187,LAND,18,15,1.6,"24,120",11.4
188,SOUND,18,14,1.9,"20,100",9.5
189,SEAT,18,14,1.7,"22,976",10.8
190,WINDOW,18,13,1.6,"23,272",11
191,PAPER,18,13,1.5,"26,221",12.4
192,HEAVEN,18,13,3.1,"12,507",5.9
193,ACCIDENT,18,13,1.4,"27,186",12.8
194,CHARGE,18,13,2.1,"18,434",8.7
195,ORDER,18,12,1.3,"29,480",13.9
196,BOARD,18,11,2.2,"17,230",8.1
197,EVENING,18,11,1.4,"27,214",12.8
198,GLASS,18,11,2.1,"18,254",8.6
199,PARTNER,18,10,1.4,"26,564",12.5
200,CABIN,18,8,6.9,"5,505",2.6
201,FUNERAL,18,7,3.6,"10,689",5
202,AREA,17,16,1.2,"29,670",14
203,CHANGE,17,15,1.6,"22,934",10.8
204,MILLION,17,15,0.9,"39,757",18.7
205,DRINK,17,15,1.2,"30,682",14.5
206,AIR,17,14,0.8,"45,735",21.6
207,AFTERNOON,17,12,1.5,"24,255",11.4
208,FELLA,17,12,5.6,"6,462",3
209,SET,17,12,2.6,"13,825",6.5
210,STEP,17,11,2.1,"16,793",7.9
211,HOTEL,17,11,1.3,"27,191",12.8
212,SERVICE,17,11,1.3,"27,119",12.8
213,BAG,17,11,1.2,"29,805",14.1
214,OWL,17,9,27.4,"1,314",0.6
215,EAR,17,8,4.1,"8,752",4.1
216,APARTMENT,17,8,1.3,"27,873",13.1
217,COAT,17,7,3.8,"9,404",4.4
218,MATCH,17,7,2.8,"12,731",6
219,SECOND,16,14,0.7,"51,742",24.4
220,BIT,16,13,0.6,"61,362",28.9
221,FUTURE,16,12,1.1,"30,303",14.3
